BSIt-12,BSIt-11,BSIt-10,BSIt-9,BSIt-8,BSIt-7,BSIt-6,BSIt-5,BSIt-4,BSIt-3,BSIt-2,BSIt-1
,,,,,,,,,,,
,,,,,,,,,,,0.680529301
,,,,,,,,,,0.680529301,2.854442344
,,,,,,,,,0.680529301,2.854442344,6.29489603
,,,,,,,,0.680529301,2.854442344,6.29489603,2.060570234
,,,,,,,0.680529301,2.854442344,6.29489603,2.060570234,3.074427731
,,,,,,0.680529301,2.854442344,6.29489603,2.060570234,3.074427731,4.480151229
,,,,,0.680529301,2.854442344,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896
,,,,0.680529301,2.854442344,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301
,,,0.680529301,2.854442344,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344
,,0.680529301,2.854442344,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603
,0.680529301,2.854442344,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711
0.680529301,2.854442344,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416
2.854442344,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229
6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896
2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301
3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344
4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603
5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599
0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161
2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229
6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896
1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301
4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344
4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603
5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241
0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,5.970776455
2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,5.970776455,4.480151229
