DVt-12,DVt-11,DVt-10,DVt-9,DVt-8,DVt-7,DVt-6,DVt-5,DVt-4,DVt-3,DVt-2,DVt-1
,,,,,,,,,,,
,,,,,,,,,,,58.66
,,,,,,,,,,58.66,41.6
,,,,,,,,,58.66,41.6,53.0
,,,,,,,,58.66,41.6,53.0,52.43833
,,,,,,,58.66,41.6,53.0,52.43833,49.19
,,,,,,58.66,41.6,53.0,52.43833,49.19,66.5
,,,,,58.66,41.6,53.0,52.43833,49.19,66.5,45.68
,,,,58.66,41.6,53.0,52.43833,49.19,66.5,45.68,60.53
,,,58.66,41.6,53.0,52.43833,49.19,66.5,45.68,60.53,45.24
,,58.66,41.6,53.0,52.43833,49.19,66.5,45.68,60.53,45.24,56.41
,58.66,41.6,53.0,52.43833,49.19,66.5,45.68,60.53,45.24,56.41,55.05166667
58.66,41.6,53.0,52.43833,49.19,66.5,45.68,60.53,45.24,56.41,55.05166667,51.19
41.6,53.0,52.43833,49.19,66.5,45.68,60.53,45.24,56.41,55.05166667,51.19,69.28
53.0,52.43833,49.19,66.5,45.68,60.53,45.24,56.41,55.05166667,51.19,69.28,47.66
52.43833,49.19,66.5,45.68,60.53,45.24,56.41,55.05166667,51.19,69.28,47.66,62.25
49.19,66.5,45.68,60.53,45.24,56.41,55.05166667,51.19,69.28,47.66,62.25,48.9
66.5,45.68,60.53,45.24,56.41,55.05166667,51.19,69.28,47.66,62.25,48.9,59.14
45.68,60.53,45.24,56.41,55.05166667,51.19,69.28,47.66,62.25,48.9,59.14,57.52666667
60.53,45.24,56.41,55.05166667,51.19,69.28,47.66,62.25,48.9,59.14,57.52666667,51.56
45.24,56.41,55.05166667,51.19,69.28,47.66,62.25,48.9,59.14,57.52666667,51.56,72.17
56.41,55.05166667,51.19,69.28,47.66,62.25,48.9,59.14,57.52666667,51.56,72.17,51.14
55.05166667,51.19,69.28,47.66,62.25,48.9,59.14,57.52666667,51.56,72.17,51.14,63.15
51.19,69.28,47.66,62.25,48.9,59.14,57.52666667,51.56,72.17,51.14,63.15,51.22
69.28,47.66,62.25,48.9,59.14,57.52666667,51.56,72.17,51.14,63.15,51.22,60.42
47.66,62.25,48.9,59.14,57.52666667,51.56,72.17,51.14,63.15,51.22,60.42,59.15666667
62.25,48.9,59.14,57.52666667,51.56,72.17,51.14,63.15,51.22,60.42,59.15666667,52.22
48.9,59.14,57.52666667,51.56,72.17,51.14,63.15,51.22,60.42,59.15666667,52.22,73.89
59.14,57.52666667,51.56,72.17,51.14,63.15,51.22,60.42,59.15666667,52.22,73.89,54.04
57.52666667,51.56,72.17,51.14,63.15,51.22,60.42,59.15666667,52.22,73.89,54.04,64.81
51.56,72.17,51.14,63.15,51.22,60.42,59.15666667,52.22,73.89,54.04,64.81,52.83
72.17,51.14,63.15,51.22,60.42,59.15666667,52.22,73.89,54.04,64.81,52.83,61.35
51.14,63.15,51.22,60.42,59.15666667,52.22,73.89,54.04,64.81,52.83,61.35,59.895
63.15,51.22,60.42,59.15666667,52.22,73.89,54.04,64.81,52.83,61.35,59.895,50.89
51.22,60.42,59.15666667,52.22,73.89,54.04,64.81,52.83,61.35,59.895,50.89,75.29
60.42,59.15666667,52.22,73.89,54.04,64.81,52.83,61.35,59.895,50.89,75.29,54.2
59.15666667,52.22,73.89,54.04,64.81,52.83,61.35,59.895,50.89,75.29,54.2,66.12
52.22,73.89,54.04,64.81,52.83,61.35,59.895,50.89,75.29,54.2,66.12,49.53
73.89,54.04,64.81,52.83,61.35,59.895,50.89,75.29,54.2,66.12,49.53,61.37
54.04,64.81,52.83,61.35,59.895,50.89,75.29,54.2,66.12,49.53,61.37,59.86666667
64.81,52.83,61.35,59.895,50.89,75.29,54.2,66.12,49.53,61.37,59.86666667,51.34
52.83,61.35,59.895,50.89,75.29,54.2,66.12,49.53,61.37,59.86666667,51.34,72.07
61.35,59.895,50.89,75.29,54.2,66.12,49.53,61.37,59.86666667,51.34,72.07,58.77
59.895,50.89,75.29,54.2,66.12,49.53,61.37,59.86666667,51.34,72.07,58.77,68.57
50.89,75.29,54.2,66.12,49.53,61.37,59.86666667,51.34,72.07,58.77,68.57,50.66
75.29,54.2,66.12,49.53,61.37,59.86666667,51.34,72.07,58.77,68.57,50.66,61.98
54.2,66.12,49.53,61.37,59.86666667,51.34,72.07,58.77,68.57,50.66,61.98,61.04
66.12,49.53,61.37,59.86666667,51.34,72.07,58.77,68.57,50.66,61.98,61.04,52.46
