IVt-12,IVt-11,IVt-10,IVt-9,IVt-8,IVt-7,IVt-6,IVt-5,IVt-4,IVt-3,IVt-2,IVt-1
,,,,,,,,,,,
,,,,,,,,,,,35.77
,,,,,,,,,,35.77,24.34
,,,,,,,,,35.77,24.34,27.31
,,,,,,,,35.77,24.34,27.31,33.99
,,,,,,,35.77,24.34,27.31,33.99,14.9
,,,,,,35.77,24.34,27.31,33.99,14.9,42.59
,,,,,35.77,24.34,27.31,33.99,14.9,42.59,22.14
,,,,35.77,24.34,27.31,33.99,14.9,42.59,22.14,30.48
,,,35.77,24.34,27.31,33.99,14.9,42.59,22.14,30.48,24.88
,,35.77,24.34,27.31,33.99,14.9,42.59,22.14,30.48,24.88,23.31
,35.77,24.34,27.31,33.99,14.9,42.59,22.14,30.48,24.88,23.31,35.46
35.77,24.34,27.31,33.99,14.9,42.59,22.14,30.48,24.88,23.31,35.46,12.58
24.34,27.31,33.99,14.9,42.59,22.14,30.48,24.88,23.31,35.46,12.58,49.85
27.31,33.99,14.9,42.59,22.14,30.48,24.88,23.31,35.46,12.58,49.85,19.61
33.99,14.9,42.59,22.14,30.48,24.88,23.31,35.46,12.58,49.85,19.61,27.81
14.9,42.59,22.14,30.48,24.88,23.31,35.46,12.58,49.85,19.61,27.81,23.73
42.59,22.14,30.48,24.88,23.31,35.46,12.58,49.85,19.61,27.81,23.73,21.78
22.14,30.48,24.88,23.31,35.46,12.58,49.85,19.61,27.81,23.73,21.78,35.17
30.48,24.88,23.31,35.46,12.58,49.85,19.61,27.81,23.73,21.78,35.17,12.64
24.88,23.31,35.46,12.58,49.85,19.61,27.81,23.73,21.78,35.17,12.64,54.82
23.31,35.46,12.58,49.85,19.61,27.81,23.73,21.78,35.17,12.64,54.82,17.68
35.46,12.58,49.85,19.61,27.81,23.73,21.78,35.17,12.64,54.82,17.68,27.16
12.58,49.85,19.61,27.81,23.73,21.78,35.17,12.64,54.82,17.68,27.16,19.86
49.85,19.61,27.81,23.73,21.78,35.17,12.64,54.82,17.68,27.16,19.86,19.47
19.61,27.81,23.73,21.78,35.17,12.64,54.82,17.68,27.16,19.86,19.47,34.2
27.81,23.73,21.78,35.17,12.64,54.82,17.68,27.16,19.86,19.47,34.2,11.73
23.73,21.78,35.17,12.64,54.82,17.68,27.16,19.86,19.47,34.2,11.73,55.34
21.78,35.17,12.64,54.82,17.68,27.16,19.86,19.47,34.2,11.73,55.34,13.04
35.17,12.64,54.82,17.68,27.16,19.86,19.47,34.2,11.73,55.34,13.04,25.66
12.64,54.82,17.68,27.16,19.86,19.47,34.2,11.73,55.34,13.04,25.66,21.53
54.82,17.68,27.16,19.86,19.47,34.2,11.73,55.34,13.04,25.66,21.53,18.13
17.68,27.16,19.86,19.47,34.2,11.73,55.34,13.04,25.66,21.53,18.13,33.18
27.16,19.86,19.47,34.2,11.73,55.34,13.04,25.66,21.53,18.13,33.18,11.42
19.86,19.47,34.2,11.73,55.34,13.04,25.66,21.53,18.13,33.18,11.42,59.34
19.47,34.2,11.73,55.34,13.04,25.66,21.53,18.13,33.18,11.42,59.34,12.49
