MLPt-8,MLPt-7,MLPt-6,MLPt-5,MLPt-4,MLPt-3,MLPt-2,MLPt-1,MPCt-8,MPCt-7,MPCt-6,MPCt-5,MPCt-4,MPCt-3,MPCt-2,MPCt-1,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1,IVt-8,IVt-7,IVt-6,IVt-5,IVt-4,IVt-3,IVt-2,IVt-1,DVt-8,DVt-7,DVt-6,DVt-5,DVt-4,DVt-3,DVt-2,DVt-1,TNVt-8,TNVt-7,TNVt-6,TNVt-5,TNVt-4,TNVt-3,TNVt-2,TNVt-1,BSIt-8,BSIt-7,BSIt-6,BSIt-5,BSIt-4,BSIt-3,BSIt-2,BSIt-1,PTRt-8,PTRt-7,PTRt-6,PTRt-5,PTRt-4,PTRt-3,PTRt-2,PTRt-1,MHIt-8,MHIt-7,MHIt-6,MHIt-5,MHIt-4,MHIt-3,MHIt-2,MHIt-1,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
207.4016962,256.2820513,140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769,3.594023841,4.349717268,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,27.06,22.28503613,29.51497228,25.86893932,21.8,27.80202204,31.71,28.62,72.94,76.00094654,72.23290293,78.11827967,78.2,69.11414897,68.29,71.38,35.77,24.34,27.31,33.99,14.9,42.59,22.14,30.48,45.87,60.52,57.14,52.93,70.67,46.99,61.59,51.73,5.1736,5.3296,4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117,0.680529301,2.854442344,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,14.69,17.22,11.75,12.12,11.76,17.68,12.22,14.65,8.933901919,3.304904051,0.698134248,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356
256.2820513,140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0,4.349717268,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,22.28503613,29.51497228,25.86893932,21.8,27.80202204,31.71,28.62,34.29037593,76.00094654,72.23290293,78.11827967,78.2,69.11414897,68.29,71.38,70.27329414,24.34,27.31,33.99,14.9,42.59,22.14,30.48,24.88,60.52,57.14,52.93,70.67,46.99,61.59,51.73,60.21,5.3296,4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817,2.854442344,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,17.22,11.75,12.12,11.76,17.68,12.22,14.65,16.99,3.304904051,0.698134248,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548
140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,29.51497228,25.86893932,21.8,27.80202204,31.71,28.62,34.29037593,36.14741818,72.23290293,78.11827967,78.2,69.11414897,68.29,71.38,70.27329414,70.31906472,27.31,33.99,14.9,42.59,22.14,30.48,24.88,23.31,57.14,52.93,70.67,46.99,61.59,51.73,60.21,62.86,4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618,6.29489603,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,11.75,12.12,11.76,17.68,12.22,14.65,16.99,11.86,0.698134248,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,6.977767181,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103
166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,25.86893932,21.8,27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797,78.11827967,78.2,69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141,33.99,14.9,42.59,22.14,30.48,24.88,23.31,35.46,52.93,70.67,46.99,61.59,51.73,60.21,62.86,51.35,4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776,2.060570234,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,12.12,11.76,17.68,12.22,14.65,16.99,11.86,12.15,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,6.977767181,0.490405117,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937
142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,21.8,27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797,24.82,78.2,69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141,75.18,14.9,42.59,22.14,30.48,24.88,23.31,35.46,12.58,70.67,46.99,61.59,51.73,60.21,62.86,51.35,74.69,4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656,3.074427731,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,11.76,17.68,12.22,14.65,16.99,11.86,12.15,11.72,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,6.977767181,0.490405117,3.176972281,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122
244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112,69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033,42.59,22.14,30.48,24.88,23.31,35.46,12.58,49.85,46.99,61.59,51.73,60.21,62.86,51.35,74.69,40.37,5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,17.68,12.22,14.65,16.99,11.86,12.15,11.72,17.62,7.292110874,1.663113006,8.933901919,3.304904051,6.977767181,0.490405117,3.176972281,7.292110874,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451
147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,31.71,28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27,68.29,71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73,22.14,30.48,24.88,23.31,35.46,12.58,49.85,19.61,61.59,51.73,60.21,62.86,51.35,74.69,40.37,64.95,5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.236294896,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,12.22,14.65,16.99,11.86,12.15,11.72,17.62,12.3,1.663113006,8.933901919,3.304904051,6.977767181,0.490405117,3.176972281,7.292110874,1.663113006,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509
206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27,26.05,71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73,73.95,30.48,24.88,23.31,35.46,12.58,49.85,19.61,27.81,51.73,60.21,62.86,51.35,74.69,40.37,64.95,55.15,5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101,0.680529301,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,14.65,16.99,11.86,12.15,11.72,17.62,12.3,14.81,8.933901919,3.304904051,6.977767181,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919
255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27,26.05,29.70409912,70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73,73.95,69.28378604,24.88,23.31,35.46,12.58,49.85,19.61,27.81,23.73,60.21,62.86,51.35,74.69,40.37,64.95,55.15,61.89,5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889,2.854442344,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,16.99,11.86,12.15,11.72,17.62,12.3,14.81,17.06,3.304904051,6.977767181,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848
140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,36.14741818,27.2948797,24.82,34.51173112,36.27,26.05,29.70409912,28.02849064,70.31906472,65.5988141,75.18,73.60297033,63.73,73.95,69.28378604,72.14111005,23.31,35.46,12.58,49.85,19.61,27.81,23.73,21.78,62.86,51.35,74.69,40.37,64.95,55.15,61.89,65.62,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144,6.29489603,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,11.86,12.15,11.72,17.62,12.3,14.81,17.06,11.84,6.977767181,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,7.709873215,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118
