MSPt-1,MSPt-3,MSPt-2,MSPt-5,MSPt-6,IVt-1,IVt-2,DVt-3,MLPt-8,DVt-5,MLPt-6,MLPt-7,MLPt-5,MLPt-2,MLPt-3,MLPt-1
210.0178,191.2350875,145.5343,132.5781,219.6001139,30.48,22.14,46.99,207.4016962,52.93,140.6666667,256.2820513,166.307955,147.1276334,244.2629836,206.9230769
230.1553,145.5343,210.0178,142.2952,132.5781,24.88,30.48,61.59,256.2820513,70.67,166.307955,140.6666667,142.9084565,206.9230769,147.1276334,255.0
226.9432356,210.0178,230.1553,191.2350875,142.2952,23.31,24.88,51.73,140.6666667,46.99,142.9084565,166.307955,244.2629836,255.0,206.9230769,140.1785714
129.5548,230.1553,226.9432356,145.5343,191.2350875,35.46,23.31,60.21,166.307955,61.59,244.2629836,142.9084565,147.1276334,140.1785714,255.0,164.84375
138.4103,226.9432356,129.5548,210.0178,145.5343,12.58,35.46,62.86,142.9084565,51.73,147.1276334,244.2629836,206.9230769,164.84375,140.1785714,142.2597865
208.3606937,129.5548,138.4103,230.1553,210.0178,49.85,12.58,51.35,244.2629836,60.21,206.9230769,147.1276334,255.0,142.2597865,164.84375,179.1922426
147.5122,138.4103,208.3606937,226.9432356,230.1553,19.61,49.85,74.69,147.1276334,62.86,255.0,206.9230769,140.1785714,179.1922426,142.2597865,146.0117133
211.3451,208.3606937,147.5122,129.5548,226.9432356,27.81,19.61,40.37,206.9230769,51.35,140.1785714,255.0,164.84375,146.0117133,179.1922426,203.7037037
232.4509,147.5122,211.3451,138.4103,129.5548,23.73,27.81,64.95,255.0,74.69,164.84375,140.1785714,142.2597865,203.7037037,146.0117133,252.2321429
144.8732919,211.3451,232.4509,208.3606937,138.4103,21.78,23.73,55.15,140.1785714,40.37,142.2597865,164.84375,179.1922426,252.2321429,203.7037037,140.0224215
134.6848,232.4509,144.8732919,147.5122,208.3606937,35.17,21.78,61.89,164.84375,64.95,179.1922426,142.2597865,146.0117133,140.0224215,252.2321429,164.084507
135.3118,144.8732919,134.6848,211.3451,147.5122,12.64,35.17,65.62,142.2597865,55.15,146.0117133,179.1922426,203.7037037,164.084507,140.0224215,138.8310185
179.3694676,134.6848,135.3118,232.4509,211.3451,54.82,12.64,51.54,179.1922426,61.89,203.7037037,146.0117133,252.2321429,138.8310185,164.084507,220.4820554
145.7691,135.3118,179.3694676,144.8732919,232.4509,17.68,54.82,75.25,146.0117133,65.62,252.2321429,203.7037037,140.0224215,220.4820554,138.8310185,142.5456389
208.1171,179.3694676,145.7691,134.6848,144.8732919,27.16,17.68,35.42,203.7037037,51.54,140.0224215,252.2321429,164.084507,142.5456389,220.4820554,201.1627907
228.5356,145.7691,208.1171,135.3118,134.6848,19.86,27.16,67.41,252.2321429,75.25,164.084507,140.0224215,138.8310185,201.1627907,142.5456389,249.5779289
134.8633964,208.1171,228.5356,179.3694676,135.3118,19.47,19.86,56.36,140.0224215,35.42,138.8310185,164.084507,220.4820554,249.5779289,201.1627907,138.6913229
130.4943,228.5356,134.8633964,145.7691,179.3694676,34.2,19.47,67.29,164.084507,67.41,220.4820554,138.8310185,142.5456389,138.6913229,249.5779289,163.0842391
133.205,134.8633964,130.4943,208.1171,145.7691,11.73,34.2,68.44,138.8310185,56.36,142.5456389,220.4820554,201.1627907,163.0842391,138.6913229,137.8212123
145.7740407,130.4943,133.205,228.5356,208.1171,55.34,11.73,52.34,220.4820554,67.29,201.1627907,142.5456389,249.5779289,137.8212123,163.0842391,167.4062221
139.1754,133.205,145.7740407,134.8633964,228.5356,13.04,55.34,77.27,142.5456389,68.44,249.5779289,201.1627907,138.6913229,167.4062221,137.8212123,141.3359898
202.4189,145.7740407,139.1754,130.4943,134.8633964,25.66,13.04,34.09,201.1627907,52.34,138.6913229,249.5779289,163.0842391,141.3359898,167.4062221,199.5295699
222.5335,139.1754,202.4189,133.205,130.4943,21.53,25.66,75.21,249.5779289,77.27,163.0842391,138.6913229,137.8212123,199.5295699,141.3359898,246.3627424
182.2373261,202.4189,222.5335,145.7740407,133.205,18.13,21.53,58.48,138.6913229,34.09,137.8212123,163.0842391,167.4062221,246.3627424,199.5295699,137.816245
131.7599,222.5335,182.2373261,139.1754,145.7740407,33.18,18.13,65.09,163.0842391,75.21,167.4062221,137.8212123,141.3359898,137.816245,246.3627424,162.9974598
133.2206,182.2373261,131.7599,202.4189,139.1754,11.42,33.18,69.82,137.8212123,58.48,141.3359898,167.4062221,199.5295699,162.9974598,137.816245,137.4223602
164.3026006,131.7599,133.2206,222.5335,202.4189,59.34,11.42,53.02,167.4062221,65.09,199.5295699,141.3359898,246.3627424,137.4223602,162.9974598,163.275848
140.1525,133.2206,164.3026006,182.2373261,222.5335,12.49,59.34,77.45,141.3359898,69.82,246.3627424,199.5295699,137.816245,163.275848,137.4223602,141.8478261
200.8698,164.3026006,140.1525,131.7599,182.2373261,25.35,12.49,31.05,199.5295699,53.02,137.816245,246.3627424,162.9974598,141.8478261,163.275848,202.6315789
217.9197,140.1525,200.8698,133.2206,131.7599,23.78,25.35,75.9,246.3627424,77.45,162.9974598,137.816245,137.4223602,202.6315789,141.8478261,250.6613757
165.5229004,200.8698,217.9197,164.3026006,133.2206,16.69,23.78,58.96,137.816245,31.05,137.4223602,162.9974598,163.275848,250.6613757,202.6315789,138.1233562
124.8101,217.9197,165.5229004,140.1525,164.3026006,29.59,16.69,62.67,162.9974598,75.9,163.275848,137.4223602,141.8478261,138.1233562,250.6613757,162.7635053
132.7041,165.5229004,124.8101,200.8698,140.1525,12.59,29.59,72.49,137.4223602,58.96,141.8478261,163.275848,202.6315789,162.7635053,138.1233562,136.7081168
169.4154891,124.8101,132.7041,217.9197,200.8698,57.88,12.59,57.12,163.275848,62.67,202.6315789,141.8478261,250.6613757,136.7081168,162.7635053,155.3876885
139.7676,132.7041,169.4154891,165.5229004,217.9197,11.17,57.88,76.1,141.8478261,72.49,250.6613757,202.6315789,138.1233562,155.3876885,136.7081168,142.4159231
203.8977,169.4154891,139.7676,124.8101,165.5229004,23.97,11.17,32.15,202.6315789,57.12,138.1233562,250.6613757,162.7635053,142.4159231,155.3876885,204.6437574
215.2847,139.7676,203.8977,132.7041,124.8101,21.9,23.97,78.5,250.6613757,76.1,162.7635053,138.1233562,136.7081168,204.6437574,142.4159231,252.7191299
164.5073418,203.8977,215.2847,169.4154891,132.7041,13.26,21.9,60.3,138.1233562,32.15,136.7081168,162.7635053,155.3876885,252.7191299,204.6437574,136.5226552
131.7977,215.2847,164.5073418,139.7676,169.4154891,25.56,13.26,64.38,162.7635053,78.5,155.3876885,136.7081168,142.4159231,136.5226552,252.7191299,161.6331096
133.1086,164.5073418,131.7977,203.8977,139.7676,10.18,25.56,76.19,136.7081168,60.3,142.4159231,155.3876885,204.6437574,161.6331096,136.5226552,138.1543867
201.3107192,131.7977,133.1086,215.2847,203.8977,58.45,10.18,61.78,155.3876885,64.38,204.6437574,142.4159231,252.7191299,138.1543867,161.6331096,146.1754609
138.2507,133.1086,201.3107192,164.5073418,215.2847,8.79,58.45,79.23,142.4159231,76.19,252.7191299,204.6437574,136.5226552,146.1754609,138.1543867,143.2225769
210.1308,201.3107192,138.2507,131.7977,164.5073418,21.78,8.79,31.55,204.6437574,61.78,136.5226552,252.7191299,161.6331096,143.2225769,146.1754609,208.2738095
221.7169,138.2507,210.1308,133.1086,131.7977,23.03,21.78,82.71,252.7191299,79.23,161.6331096,136.5226552,138.1543867,208.2738095,143.2225769,254.4374016
201.0811156,210.1308,221.7169,201.3107192,133.1086,13.17,23.03,62.7,136.5226552,31.55,138.1543867,161.6331096,146.1754609,254.4374016,208.2738095,138.3982036
130.4553,221.7169,201.0811156,138.2507,201.3107192,23.71,13.17,61.98,161.6331096,82.71,146.1754609,138.1543867,143.2225769,138.3982036,254.4374016,163.3696563
132.1858,201.0811156,130.4553,210.1308,138.2507,9.75,23.71,75.4,138.1543867,62.7,143.2225769,146.1754609,208.2738095,163.3696563,138.3982036,138.7820513
138.634794,130.4553,132.1858,221.7169,210.1308,58.76,9.75,63.37,146.1754609,61.98,208.2738095,143.2225769,254.4374016,138.7820513,163.3696563,152.807602
141.6511,132.1858,138.634794,201.0811156,221.7169,7.74,58.76,80.11,143.2225769,75.4,254.4374016,208.2738095,138.3982036,152.807602,138.7820513,143.9001211
219.1392,138.634794,141.6511,130.4553,201.0811156,20.43,7.74,31.34,208.2738095,63.37,138.3982036,254.4374016,163.3696563,143.9001211,152.807602,206.3358884
221.9197,141.6511,219.1392,132.1858,130.4553,22.1,20.43,85.02,254.4374016,80.11,163.3696563,138.3982036,138.7820513,206.3358884,143.9001211,254.5576408
209.6578701,219.1392,221.9197,138.634794,132.1858,13.44,22.1,64.16,138.3982036,31.34,138.7820513,163.3696563,152.807602,254.5576408,206.3358884,141.8245467
136.721,221.9197,209.6578701,141.6511,138.634794,22.91,13.44,63.34,163.3696563,85.02,152.807602,138.7820513,143.9001211,141.8245467,254.5576408,166.1609425
136.097,209.6578701,136.721,219.1392,141.6511,9.54,22.91,74.44,138.7820513,64.16,143.9001211,152.807602,206.3358884,166.1609425,141.8245467,139.1364903
209.3087659,136.721,136.097,221.9197,219.1392,51.41,9.54,64.36,152.807602,63.34,206.3358884,143.9001211,254.5576408,139.1364903,166.1609425,171.697878
144.4356,136.097,209.3087659,209.6578701,221.9197,8.43,51.41,80.46,143.9001211,74.44,254.5576408,206.3358884,141.8245467,171.697878,139.1364903,144.3364574
221.2518,209.3087659,144.4356,136.721,209.6578701,19.28,8.43,36.75,206.3358884,64.36,141.8245467,254.5576408,166.1609425,144.3364574,171.697878,202.3034768
219.7415,144.4356,221.2518,136.097,136.721,23.69,19.28,83.72,254.5576408,80.46,166.1609425,141.8245467,139.1364903,202.3034768,144.3364574,253.55273
152.6425988,221.2518,219.7415,209.3087659,136.097,16.0,23.69,65.74,141.8245467,36.75,139.1364903,166.1609425,171.697878,253.55273,202.3034768,140.8633561
125.8736,219.7415,152.6425988,144.4356,209.3087659,26.55,16.0,61.22,166.1609425,83.72,171.697878,139.1364903,144.3364574,140.8633561,253.55273,165.4120772
136.1516,152.6425988,125.8736,221.2518,144.4356,11.45,26.55,72.02,139.1364903,65.74,144.3364574,171.697878,202.3034768,165.4120772,140.8633561,139.1194332
125.9871351,125.8736,136.1516,219.7415,221.2518,52.77,11.45,59.08,171.697878,61.22,202.3034768,144.3364574,253.55273,139.1194332,165.4120772,217.2060795
147.8325,136.1516,125.9871351,152.6425988,219.7415,9.21,52.77,76.93,144.3364574,72.02,253.55273,202.3034768,140.8633561,217.2060795,139.1194332,143.92
