DT,MLP,MPC,SFL,SFG,IV,DV,TNV,BSI,PTR,MHI,MSP
2010-10-05,207.4016962,3.594023841,27.06,72.94,35.77,45.87,5.1736,0.680529301,14.69,8.933901919,214.8461
2010-10-10,256.2820513,4.349717268,22.28503613,76.00094654,24.34,60.52,5.3296,2.854442344,17.22,3.304904051,230.1215
2010-10-15,140.6666667,5.074339753,29.51497228,72.23290293,27.31,57.14,4.821357471,6.29489603,11.75,0.698134248,219.6001139
2010-10-18,166.307955,6.002265006,25.86893932,78.11827967,33.99,52.93,4.7309,2.060570234,12.12,0.490405117,132.5781
2010-10-20,142.9084565,3.827281649,21.8,78.2,14.9,70.67,4.7021,3.074427731,11.76,3.176972281,142.2952
2010-10-25,244.2629836,5.818813104,27.80202204,69.11414897,42.59,46.99,5.088372336,4.480151229,17.68,7.292110874,191.2350875
2010-10-28,147.1276334,4.166666667,31.71,68.29,22.14,61.59,5.2037,5.236294896,12.22,1.663113006,145.5343
2010-11-05,206.9230769,3.615328995,28.62,71.38,30.48,51.73,5.4117,0.680529301,14.65,8.933901919,210.0178
2010-11-10,255,4.474968411,34.29037593,70.27329414,24.88,60.21,5.7817,2.854442344,16.99,3.304904051,230.1553
2010-11-15,140.1785714,5.17195419,36.14741818,70.31906472,23.31,62.86,5.634768618,6.29489603,11.86,6.977767181,226.9432356
2010-11-18,164.84375,6.472491909,27.2948797,65.5988141,35.46,51.35,4.4776,1.973539711,12.15,0.490405117,129.5548
2010-11-20,142.2597865,4.218682578,24.82,75.18,12.58,74.69,4.9656,4.290363416,11.72,3.176972281,138.4103
2010-11-25,179.1922426,4.705754725,34.51173112,73.60297033,49.85,40.37,4.955132175,4.480151229,17.62,7.292110874,208.3606937
2010-11-28,146.0117133,4.301667445,36.27,63.73,19.61,64.95,5.4128,5.236294896,12.3,1.663113006,147.5122
2010-12-05,203.7037037,4.118858488,26.05,73.95,27.81,55.15,5.4101,0.680529301,14.81,8.933901919,211.3451
