MLPt-12,MLPt-11,MLPt-10,MLPt-9,MLPt-8,MLPt-7,MLPt-6,MLPt-5,MLPt-4,MLPt-3,MLPt-2,MLPt-1
,,,,,,,,,,,
,,,,,,,,,,,207.4016962
,,,,,,,,,,207.4016962,256.2820513
,,,,,,,,,207.4016962,256.2820513,140.6666667
,,,,,,,,207.4016962,256.2820513,140.6666667,166.307955
,,,,,,,207.4016962,256.2820513,140.6666667,166.307955,142.9084565
,,,,,,207.4016962,256.2820513,140.6666667,166.307955,142.9084565,244.2629836
,,,,,207.4016962,256.2820513,140.6666667,166.307955,142.9084565,244.2629836,147.1276334
,,,,207.4016962,256.2820513,140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769
,,,207.4016962,256.2820513,140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0
,,207.4016962,256.2820513,140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714
,207.4016962,256.2820513,140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375
207.4016962,256.2820513,140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865
256.2820513,140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426
140.6666667,166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133
166.307955,142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037
142.9084565,244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429
244.2629836,147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215
147.1276334,206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507
206.9230769,255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185
255.0,140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554
140.1785714,164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389
164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907
142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289
179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229
146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391
203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,137.8212123
252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,137.8212123,167.4062221
140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,137.8212123,167.4062221,141.3359898
164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,137.8212123,167.4062221,141.3359898,199.5295699
138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,137.8212123,167.4062221,141.3359898,199.5295699,246.3627424
220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,137.8212123,167.4062221,141.3359898,199.5295699,246.3627424,137.816245
142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,137.8212123,167.4062221,141.3359898,199.5295699,246.3627424,137.816245,162.9974598
201.1627907,249.5779289,138.6913229,163.0842391,137.8212123,167.4062221,141.3359898,199.5295699,246.3627424,137.816245,162.9974598,137.4223602
249.5779289,138.6913229,163.0842391,137.8212123,167.4062221,141.3359898,199.5295699,246.3627424,137.816245,162.9974598,137.4223602,163.275848
138.6913229,163.0842391,137.8212123,167.4062221,141.3359898,199.5295699,246.3627424,137.816245,162.9974598,137.4223602,163.275848,141.8478261
163.0842391,137.8212123,167.4062221,141.3359898,199.5295699,246.3627424,137.816245,162.9974598,137.4223602,163.275848,141.8478261,202.6315789
137.8212123,167.4062221,141.3359898,199.5295699,246.3627424,137.816245,162.9974598,137.4223602,163.275848,141.8478261,202.6315789,250.6613757
167.4062221,141.3359898,199.5295699,246.3627424,137.816245,162.9974598,137.4223602,163.275848,141.8478261,202.6315789,250.6613757,138.1233562
141.3359898,199.5295699,246.3627424,137.816245,162.9974598,137.4223602,163.275848,141.8478261,202.6315789,250.6613757,138.1233562,162.7635053
199.5295699,246.3627424,137.816245,162.9974598,137.4223602,163.275848,141.8478261,202.6315789,250.6613757,138.1233562,162.7635053,136.7081168
246.3627424,137.816245,162.9974598,137.4223602,163.275848,141.8478261,202.6315789,250.6613757,138.1233562,162.7635053,136.7081168,155.3876885
137.816245,162.9974598,137.4223602,163.275848,141.8478261,202.6315789,250.6613757,138.1233562,162.7635053,136.7081168,155.3876885,142.4159231
162.9974598,137.4223602,163.275848,141.8478261,202.6315789,250.6613757,138.1233562,162.7635053,136.7081168,155.3876885,142.4159231,204.6437574
137.4223602,163.275848,141.8478261,202.6315789,250.6613757,138.1233562,162.7635053,136.7081168,155.3876885,142.4159231,204.6437574,252.7191299
163.275848,141.8478261,202.6315789,250.6613757,138.1233562,162.7635053,136.7081168,155.3876885,142.4159231,204.6437574,252.7191299,136.5226552
141.8478261,202.6315789,250.6613757,138.1233562,162.7635053,136.7081168,155.3876885,142.4159231,204.6437574,252.7191299,136.5226552,161.6331096
202.6315789,250.6613757,138.1233562,162.7635053,136.7081168,155.3876885,142.4159231,204.6437574,252.7191299,136.5226552,161.6331096,138.1543867
250.6613757,138.1233562,162.7635053,136.7081168,155.3876885,142.4159231,204.6437574,252.7191299,136.5226552,161.6331096,138.1543867,146.1754609
138.1233562,162.7635053,136.7081168,155.3876885,142.4159231,204.6437574,252.7191299,136.5226552,161.6331096,138.1543867,146.1754609,143.2225769
162.7635053,136.7081168,155.3876885,142.4159231,204.6437574,252.7191299,136.5226552,161.6331096,138.1543867,146.1754609,143.2225769,208.2738095
136.7081168,155.3876885,142.4159231,204.6437574,252.7191299,136.5226552,161.6331096,138.1543867,146.1754609,143.2225769,208.2738095,254.4374016
155.3876885,142.4159231,204.6437574,252.7191299,136.5226552,161.6331096,138.1543867,146.1754609,143.2225769,208.2738095,254.4374016,138.3982036
142.4159231,204.6437574,252.7191299,136.5226552,161.6331096,138.1543867,146.1754609,143.2225769,208.2738095,254.4374016,138.3982036,163.3696563
204.6437574,252.7191299,136.5226552,161.6331096,138.1543867,146.1754609,143.2225769,208.2738095,254.4374016,138.3982036,163.3696563,138.7820513
252.7191299,136.5226552,161.6331096,138.1543867,146.1754609,143.2225769,208.2738095,254.4374016,138.3982036,163.3696563,138.7820513,152.807602
