MLPt-12,MLPt-11,MLPt-10,MLPt-9,MLPt-8,MLPt-7,MLPt-6,MLPt-5,MLPt-4,MLPt-3,MLPt-2,MLPt-1
,,,,,,,,,,,
,,,,,,,,,,,228.5034902
,,,,,,,,,,228.5034902,89.10828025
,,,,,,,,,228.5034902,89.10828025,138.1814989
,,,,,,,,228.5034902,89.10828025,138.1814989,93.70199693
,,,,,,,228.5034902,89.10828025,138.1814989,93.70199693,88.38443396
,,,,,,228.5034902,89.10828025,138.1814989,93.70199693,88.38443396,85.84809863
,,,,,228.5034902,89.10828025,138.1814989,93.70199693,88.38443396,85.84809863,132.6190476
,,,,228.5034902,89.10828025,138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488
,,,228.5034902,89.10828025,138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417
,,228.5034902,89.10828025,138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182
,228.5034902,89.10828025,138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376
228.5034902,89.10828025,138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207
89.10828025,138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424
138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487
93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617
88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178
85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768
132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645
226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943
88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744
138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866
92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667
89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544
85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539
130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667
223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243
87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451
136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308
91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131
88.26650943,84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857
84.76685744,129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344
129.0262866,219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,94.38522398
219.7916667,87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,94.38522398,81.25
87.48435544,136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,94.38522398,81.25,80.70149231
136.9513539,91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,94.38522398,81.25,80.70149231,126.9146608
91.66666667,87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,94.38522398,81.25,80.70149231,126.9146608,220.7142857
87.61682243,81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,94.38522398,81.25,80.70149231,126.9146608,220.7142857,88.59223301
81.89398451,126.1807308,215.7326131,88.57142857,137.0389344,94.38522398,81.25,80.70149231,126.9146608,220.7142857,88.59223301,137.2847816
126.1807308,215.7326131,88.57142857,137.0389344,94.38522398,81.25,80.70149231,126.9146608,220.7142857,88.59223301,137.2847816,94.5045045
215.7326131,88.57142857,137.0389344,94.38522398,81.25,80.70149231,126.9146608,220.7142857,88.59223301,137.2847816,94.5045045,86.60130719
88.57142857,137.0389344,94.38522398,81.25,80.70149231,126.9146608,220.7142857,88.59223301,137.2847816,94.5045045,86.60130719,78.58154589
137.0389344,94.38522398,81.25,80.70149231,126.9146608,220.7142857,88.59223301,137.2847816,94.5045045,86.60130719,78.58154589,127.9229711
94.38522398,81.25,80.70149231,126.9146608,220.7142857,88.59223301,137.2847816,94.5045045,86.60130719,78.58154589,127.9229711,218.2038905
81.25,80.70149231,126.9146608,220.7142857,88.59223301,137.2847816,94.5045045,86.60130719,78.58154589,127.9229711,218.2038905,88.99676375
80.70149231,126.9146608,220.7142857,88.59223301,137.2847816,94.5045045,86.60130719,78.58154589,127.9229711,218.2038905,88.99676375,136.6592757
126.9146608,220.7142857,88.59223301,137.2847816,94.5045045,86.60130719,78.58154589,127.9229711,218.2038905,88.99676375,136.6592757,94.21841542
220.7142857,88.59223301,137.2847816,94.5045045,86.60130719,78.58154589,127.9229711,218.2038905,88.99676375,136.6592757,94.21841542,87.56223282
88.59223301,137.2847816,94.5045045,86.60130719,78.58154589,127.9229711,218.2038905,88.99676375,136.6592757,94.21841542,87.56223282,80.81723668
137.2847816,94.5045045,86.60130719,78.58154589,127.9229711,218.2038905,88.99676375,136.6592757,94.21841542,87.56223282,80.81723668,132.2916667
94.5045045,86.60130719,78.58154589,127.9229711,218.2038905,88.99676375,136.6592757,94.21841542,87.56223282,80.81723668,132.2916667,218.9868369
86.60130719,78.58154589,127.9229711,218.2038905,88.99676375,136.6592757,94.21841542,87.56223282,80.81723668,132.2916667,218.9868369,87.5
78.58154589,127.9229711,218.2038905,88.99676375,136.6592757,94.21841542,87.56223282,80.81723668,132.2916667,218.9868369,87.5,133.8392857
127.9229711,218.2038905,88.99676375,136.6592757,94.21841542,87.56223282,80.81723668,132.2916667,218.9868369,87.5,133.8392857,94.23222358
218.2038905,88.99676375,136.6592757,94.21841542,87.56223282,80.81723668,132.2916667,218.9868369,87.5,133.8392857,94.23222358,89.02616279
88.99676375,136.6592757,94.21841542,87.56223282,80.81723668,132.2916667,218.9868369,87.5,133.8392857,94.23222358,89.02616279,81.71728972
136.6592757,94.21841542,87.56223282,80.81723668,132.2916667,218.9868369,87.5,133.8392857,94.23222358,89.02616279,81.71728972,133.0173259
94.21841542,87.56223282,80.81723668,132.2916667,218.9868369,87.5,133.8392857,94.23222358,89.02616279,81.71728972,133.0173259,216.5097755
87.56223282,80.81723668,132.2916667,218.9868369,87.5,133.8392857,94.23222358,89.02616279,81.71728972,133.0173259,216.5097755,86.65813951
80.81723668,132.2916667,218.9868369,87.5,133.8392857,94.23222358,89.02616279,81.71728972,133.0173259,216.5097755,86.65813951,133.2291667
132.2916667,218.9868369,87.5,133.8392857,94.23222358,89.02616279,81.71728972,133.0173259,216.5097755,86.65813951,133.2291667,94.64506173
218.9868369,87.5,133.8392857,94.23222358,89.02616279,81.71728972,133.0173259,216.5097755,86.65813951,133.2291667,94.64506173,89.55228327
87.5,133.8392857,94.23222358,89.02616279,81.71728972,133.0173259,216.5097755,86.65813951,133.2291667,94.64506173,89.55228327,83.26923077
133.8392857,94.23222358,89.02616279,81.71728972,133.0173259,216.5097755,86.65813951,133.2291667,94.64506173,89.55228327,83.26923077,133.3333333
94.23222358,89.02616279,81.71728972,133.0173259,216.5097755,86.65813951,133.2291667,94.64506173,89.55228327,83.26923077,133.3333333,214.2709837
89.02616279,81.71728972,133.0173259,216.5097755,86.65813951,133.2291667,94.64506173,89.55228327,83.26923077,133.3333333,214.2709837,82.44739756
81.71728972,133.0173259,216.5097755,86.65813951,133.2291667,94.64506173,89.55228327,83.26923077,133.3333333,214.2709837,82.44739756,132.7898551
133.0173259,216.5097755,86.65813951,133.2291667,94.64506173,89.55228327,83.26923077,133.3333333,214.2709837,82.44739756,132.7898551,94.90740741
216.5097755,86.65813951,133.2291667,94.64506173,89.55228327,83.26923077,133.3333333,214.2709837,82.44739756,132.7898551,94.90740741,90.12623986
86.65813951,133.2291667,94.64506173,89.55228327,83.26923077,133.3333333,214.2709837,82.44739756,132.7898551,94.90740741,90.12623986,83.50144092
133.2291667,94.64506173,89.55228327,83.26923077,133.3333333,214.2709837,82.44739756,132.7898551,94.90740741,90.12623986,83.50144092,133.3333333
94.64506173,89.55228327,83.26923077,133.3333333,214.2709837,82.44739756,132.7898551,94.90740741,90.12623986,83.50144092,133.3333333,212.4740591
89.55228327,83.26923077,133.3333333,214.2709837,82.44739756,132.7898551,94.90740741,90.12623986,83.50144092,133.3333333,212.4740591,76.64291403
83.26923077,133.3333333,214.2709837,82.44739756,132.7898551,94.90740741,90.12623986,83.50144092,133.3333333,212.4740591,76.64291403,130.7797468
133.3333333,214.2709837,82.44739756,132.7898551,94.90740741,90.12623986,83.50144092,133.3333333,212.4740591,76.64291403,130.7797468,93.89933166
214.2709837,82.44739756,132.7898551,94.90740741,90.12623986,83.50144092,133.3333333,212.4740591,76.64291403,130.7797468,93.89933166,88.54166667
82.44739756,132.7898551,94.90740741,90.12623986,83.50144092,133.3333333,212.4740591,76.64291403,130.7797468,93.89933166,88.54166667,82.80319532
132.7898551,94.90740741,90.12623986,83.50144092,133.3333333,212.4740591,76.64291403,130.7797468,93.89933166,88.54166667,82.80319532,133.4021568
94.90740741,90.12623986,83.50144092,133.3333333,212.4740591,76.64291403,130.7797468,93.89933166,88.54166667,82.80319532,133.4021568,210.9404481
90.12623986,83.50144092,133.3333333,212.4740591,76.64291403,130.7797468,93.89933166,88.54166667,82.80319532,133.4021568,210.9404481,75.60558789
83.50144092,133.3333333,212.4740591,76.64291403,130.7797468,93.89933166,88.54166667,82.80319532,133.4021568,210.9404481,75.60558789,129.9452664
133.3333333,212.4740591,76.64291403,130.7797468,93.89933166,88.54166667,82.80319532,133.4021568,210.9404481,75.60558789,129.9452664,93.6103425
212.4740591,76.64291403,130.7797468,93.89933166,88.54166667,82.80319532,133.4021568,210.9404481,75.60558789,129.9452664,93.6103425,88.77777778
76.64291403,130.7797468,93.89933166,88.54166667,82.80319532,133.4021568,210.9404481,75.60558789,129.9452664,93.6103425,88.77777778,80.64236111
130.7797468,93.89933166,88.54166667,82.80319532,133.4021568,210.9404481,75.60558789,129.9452664,93.6103425,88.77777778,80.64236111,131.9776905
93.89933166,88.54166667,82.80319532,133.4021568,210.9404481,75.60558789,129.9452664,93.6103425,88.77777778,80.64236111,131.9776905,209.1776799
88.54166667,82.80319532,133.4021568,210.9404481,75.60558789,129.9452664,93.6103425,88.77777778,80.64236111,131.9776905,209.1776799,76.0
82.80319532,133.4021568,210.9404481,75.60558789,129.9452664,93.6103425,88.77777778,80.64236111,131.9776905,209.1776799,76.0,130.0374365
133.4021568,210.9404481,75.60558789,129.9452664,93.6103425,88.77777778,80.64236111,131.9776905,209.1776799,76.0,130.0374365,92.7895882
210.9404481,75.60558789,129.9452664,93.6103425,88.77777778,80.64236111,131.9776905,209.1776799,76.0,130.0374365,92.7895882,87.32517483
