MPCt-12,MPCt-11,MPCt-10,MPCt-9,MPCt-8,MPCt-7,MPCt-6,MPCt-5,MPCt-4,MPCt-3,MPCt-2,MPCt-1
,,,,,,,,,,,
,,,,,,,,,,,3.594023841
,,,,,,,,,,3.594023841,4.349717268
,,,,,,,,,3.594023841,4.349717268,5.074339753
,,,,,,,,3.594023841,4.349717268,5.074339753,6.002265006
,,,,,,,3.594023841,4.349717268,5.074339753,6.002265006,3.827281649
,,,,,,3.594023841,4.349717268,5.074339753,6.002265006,3.827281649,5.818813104
,,,,,3.594023841,4.349717268,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667
,,,,3.594023841,4.349717268,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995
,,,3.594023841,4.349717268,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411
,,3.594023841,4.349717268,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419
,3.594023841,4.349717268,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909
3.594023841,4.349717268,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578
4.349717268,5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725
5.074339753,6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445
6.002265006,3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488
3.827281649,5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918
5.818813104,4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631
4.166666667,3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247
3.615328995,4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181
4.474968411,5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088
5.17195419,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073
6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134
4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381
4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041
4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061
4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,4.140786749
4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,4.140786749,5.569509623
6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,4.140786749,5.569509623,4.517782351
7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,4.140786749,5.569509623,4.517782351,4.000336051
4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,4.140786749,5.569509623,4.517782351,4.000336051,4.41826215
4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,4.140786749,5.569509623,4.517782351,4.000336051,4.41826215,5.775172515
4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,4.140786749,5.569509623,4.517782351,4.000336051,4.41826215,5.775172515,6.410849129
4.12371134,4.780952381,6.577693041,6.060606061,4.140786749,5.569509623,4.517782351,4.000336051,4.41826215,5.775172515,6.410849129,4.428697963
4.780952381,6.577693041,6.060606061,4.140786749,5.569509623,4.517782351,4.000336051,4.41826215,5.775172515,6.410849129,4.428697963,4.041096436
6.577693041,6.060606061,4.140786749,5.569509623,4.517782351,4.000336051,4.41826215,5.775172515,6.410849129,4.428697963,4.041096436,5.0
6.060606061,4.140786749,5.569509623,4.517782351,4.000336051,4.41826215,5.775172515,6.410849129,4.428697963,4.041096436,5.0,3.64298725
4.140786749,5.569509623,4.517782351,4.000336051,4.41826215,5.775172515,6.410849129,4.428697963,4.041096436,5.0,3.64298725,4.349717268
5.569509623,4.517782351,4.000336051,4.41826215,5.775172515,6.410849129,4.428697963,4.041096436,5.0,3.64298725,4.349717268,6.503267974
4.517782351,4.000336051,4.41826215,5.775172515,6.410849129,4.428697963,4.041096436,5.0,3.64298725,4.349717268,6.503267974,6.50099551
4.000336051,4.41826215,5.775172515,6.410849129,4.428697963,4.041096436,5.0,3.64298725,4.349717268,6.503267974,6.50099551,3.628330223
4.41826215,5.775172515,6.410849129,4.428697963,4.041096436,5.0,3.64298725,4.349717268,6.503267974,6.50099551,3.628330223,4.716983872
5.775172515,6.410849129,4.428697963,4.041096436,5.0,3.64298725,4.349717268,6.503267974,6.50099551,3.628330223,4.716983872,4.375210838
6.410849129,4.428697963,4.041096436,5.0,3.64298725,4.349717268,6.503267974,6.50099551,3.628330223,4.716983872,4.375210838,3.498950315
4.428697963,4.041096436,5.0,3.64298725,4.349717268,6.503267974,6.50099551,3.628330223,4.716983872,4.375210838,3.498950315,4.370666299
4.041096436,5.0,3.64298725,4.349717268,6.503267974,6.50099551,3.628330223,4.716983872,4.375210838,3.498950315,4.370666299,4.035059156
5.0,3.64298725,4.349717268,6.503267974,6.50099551,3.628330223,4.716983872,4.375210838,3.498950315,4.370666299,4.035059156,5.016736437
3.64298725,4.349717268,6.503267974,6.50099551,3.628330223,4.716983872,4.375210838,3.498950315,4.370666299,4.035059156,5.016736437,3.76146789
4.349717268,6.503267974,6.50099551,3.628330223,4.716983872,4.375210838,3.498950315,4.370666299,4.035059156,5.016736437,3.76146789,4.52790576
6.503267974,6.50099551,3.628330223,4.716983872,4.375210838,3.498950315,4.370666299,4.035059156,5.016736437,3.76146789,4.52790576,3.773921939
6.50099551,3.628330223,4.716983872,4.375210838,3.498950315,4.370666299,4.035059156,5.016736437,3.76146789,4.52790576,3.773921939,3.44918372
3.628330223,4.716983872,4.375210838,3.498950315,4.370666299,4.035059156,5.016736437,3.76146789,4.52790576,3.773921939,3.44918372,4.184100418
4.716983872,4.375210838,3.498950315,4.370666299,4.035059156,5.016736437,3.76146789,4.52790576,3.773921939,3.44918372,4.184100418,4.763038819
