MSPt-12,MSPt-11,MSPt-10,MSPt-9,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
,,,,,,,,,,,,214.8461,230.1215
,,,,,,,,,,,214.8461,230.1215,219.6001139
,,,,,,,,,,214.8461,230.1215,219.6001139,132.5781
,,,,,,,,,214.8461,230.1215,219.6001139,132.5781,142.2952
,,,,,,,,214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875
,,,,,,,214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343
,,,,,,214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178
,,,,,214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553
,,,,214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356
,,,214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548
,,214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103
,214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937
214.8461,230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122
230.1215,219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451
219.6001139,132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509
132.5781,142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919
142.2952,191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848
191.2350875,145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118
145.5343,210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676
210.0178,230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691
230.1553,226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171
226.9432356,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356
129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964
138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943
208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205
147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407
211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754
232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189
144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189,222.5335
134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189,222.5335,182.2373261
135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189,222.5335,182.2373261,131.7599
179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189,222.5335,182.2373261,131.7599,133.2206
145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189,222.5335,182.2373261,131.7599,133.2206,164.3026006
208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189,222.5335,182.2373261,131.7599,133.2206,164.3026006,140.1525
228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189,222.5335,182.2373261,131.7599,133.2206,164.3026006,140.1525,200.8698
134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189,222.5335,182.2373261,131.7599,133.2206,164.3026006,140.1525,200.8698,217.9197
130.4943,133.205,145.7740407,139.1754,202.4189,222.5335,182.2373261,131.7599,133.2206,164.3026006,140.1525,200.8698,217.9197,165.5229004
133.205,145.7740407,139.1754,202.4189,222.5335,182.2373261,131.7599,133.2206,164.3026006,140.1525,200.8698,217.9197,165.5229004,124.8101
145.7740407,139.1754,202.4189,222.5335,182.2373261,131.7599,133.2206,164.3026006,140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041
139.1754,202.4189,222.5335,182.2373261,131.7599,133.2206,164.3026006,140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891
202.4189,222.5335,182.2373261,131.7599,133.2206,164.3026006,140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676
222.5335,182.2373261,131.7599,133.2206,164.3026006,140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977
182.2373261,131.7599,133.2206,164.3026006,140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847
131.7599,133.2206,164.3026006,140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418
133.2206,164.3026006,140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977
164.3026006,140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086
140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192
200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507
217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308
165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169
124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156
132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553
169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858
139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794
203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511
215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392
164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197
131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701
133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721
201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097
138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659
210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356
221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518
201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415
130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988
132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736
138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516
141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351
219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325
221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172
209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765
136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163
136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721
209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965
