MSPt-12,MSPt-11,MSPt-10,MSPt-9,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
,,,,,,,,,,,,235.5711,85.9652
,,,,,,,,,,,235.5711,85.9652,132.6075
,,,,,,,,,,235.5711,85.9652,132.6075,119.133
,,,,,,,,,235.5711,85.9652,132.6075,119.133,74.47
,,,,,,,,235.5711,85.9652,132.6075,119.133,74.47,73.0457
,,,,,,,235.5711,85.9652,132.6075,119.133,74.47,73.0457,113.0205
,,,,,,235.5711,85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697
,,,,,235.5711,85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346
,,,,235.5711,85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974
,,,235.5711,85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722
,,235.5711,85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473
,235.5711,85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933
235.5711,85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908
85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999
132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796
119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556
74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777
73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631
113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828
234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853
85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924
133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008
118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658
74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132
73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053
111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544
231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288
84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718
129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749
117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368
79.9631,73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368,114.5715
73.2828,108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368,114.5715,66.6447
108.9853,228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368,114.5715,66.6447,69.0471
228.924,84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368,114.5715,66.6447,69.0471,112.4075
84.1008,126.9658,115.4132,71.6053,69.2544,111.6288,229.718,82.0749,127.5368,114.5715,66.6447,69.0471,112.4075,229.1252
