MLPt-8,MLPt-7,MLPt-6,MLPt-5,MLPt-4,MLPt-3,MLPt-2,MLPt-1,MPCt-8,MPCt-7,MPCt-6,MPCt-5,MPCt-4,MPCt-3,MPCt-2,MPCt-1,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1,IVt-8,IVt-7,IVt-6,IVt-5,IVt-4,IVt-3,IVt-2,IVt-1,DVt-8,DVt-7,DVt-6,DVt-5,DVt-4,DVt-3,DVt-2,DVt-1,TNVt-8,TNVt-7,TNVt-6,TNVt-5,TNVt-4,TNVt-3,TNVt-2,TNVt-1,BSIt-8,BSIt-7,BSIt-6,BSIt-5,BSIt-4,BSIt-3,BSIt-2,BSIt-1,PTRt-8,PTRt-7,PTRt-6,PTRt-5,PTRt-4,PTRt-3,PTRt-2,PTRt-1,MHIt-8,MHIt-7,MHIt-6,MHIt-5,MHIt-4,MHIt-3,MHIt-2,MHIt-1,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
228.5034902,89.10828025,138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,4.454342984,4.08,4.00160064,4.003202562,6.253908693,4.361370717,5.409060176,4.52173913,21.49,18.54333,17.05,17.09,18.54333,18.54333,18.54333,20.79,78.51,81.45667,82.95,82.91,81.45667,81.45667,81.45667,79.21,28.6,37.28,30.27,33.82,39.75,42.33,24.69,27.11,58.66,41.6,53.0,52.43833,49.19,66.5,45.68,60.53,3.5551,4.5416,4.1326,3.949267,4.2649,3.5143,3.6871,3.4562,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,14.31,9.91,10.23,7.4,6.66,6.84,8.67,14.28,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,235.5711,85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974
89.10828025,138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,4.08,4.00160064,4.003202562,6.253908693,4.361370717,5.409060176,4.52173913,4.347826087,18.54333,17.05,17.09,18.54333,18.54333,18.54333,20.79,19.16667,81.45667,82.95,82.91,81.45667,81.45667,81.45667,79.21,80.83333,37.28,30.27,33.82,39.75,42.33,24.69,27.11,35.1,41.6,53.0,52.43833,49.19,66.5,45.68,60.53,45.24,4.5416,4.1326,3.949267,4.2649,3.5143,3.6871,3.4562,4.2178,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,9.91,10.23,7.4,6.66,6.84,8.67,14.28,9.02,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,85.9652,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722
138.1814989,93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,4.00160064,4.003202562,6.253908693,4.361370717,5.409060176,4.52173913,4.347826087,3.848620911,17.05,17.09,18.54333,18.54333,18.54333,20.79,19.16667,14.68,82.95,82.91,81.45667,81.45667,81.45667,79.21,80.83333,85.32,30.27,33.82,39.75,42.33,24.69,27.11,35.1,27.58,53.0,52.43833,49.19,66.5,45.68,60.53,45.24,56.41,4.1326,3.949267,4.2649,3.5143,3.6871,3.4562,4.2178,4.1695,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,10.23,7.4,6.66,6.84,8.67,14.28,9.02,10.09,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,132.6075,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473
93.70199693,88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,4.003202562,6.253908693,4.361370717,5.409060176,4.52173913,4.347826087,3.848620911,4.347826087,17.09,18.54333,18.54333,18.54333,20.79,19.16667,14.68,22.03,82.91,81.45667,81.45667,81.45667,79.21,80.83333,85.32,77.97,33.82,39.75,42.33,24.69,27.11,35.1,27.58,31.685,52.43833,49.19,66.5,45.68,60.53,45.24,56.41,55.05166667,3.949267,4.2649,3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,7.4,6.66,6.84,8.67,14.28,9.02,10.09,7.33,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,119.133,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933
88.38443396,85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,6.253908693,4.361370717,5.409060176,4.52173913,4.347826087,3.848620911,4.347826087,5.006257822,18.54333,18.54333,18.54333,20.79,19.16667,14.68,22.03,19.16667,81.45667,81.45667,81.45667,79.21,80.83333,85.32,77.97,80.83333,39.75,42.33,24.69,27.11,35.1,27.58,31.685,38.2,49.19,66.5,45.68,60.53,45.24,56.41,55.05166667,51.19,4.2649,3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,6.66,6.84,8.67,14.28,9.02,10.09,7.33,6.57,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,74.47,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908
85.84809863,132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,4.361370717,5.409060176,4.52173913,4.347826087,3.848620911,4.347826087,5.006257822,3.925795021,18.54333,18.54333,20.79,19.16667,14.68,22.03,19.16667,19.16667,81.45667,81.45667,79.21,80.83333,85.32,77.97,80.83333,80.83333,42.33,24.69,27.11,35.1,27.58,31.685,38.2,21.88,66.5,45.68,60.53,45.24,56.41,55.05166667,51.19,69.28,3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,6.84,8.67,14.28,9.02,10.09,7.33,6.57,6.84,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,73.0457,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999
132.6190476,226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,5.409060176,4.52173913,4.347826087,3.848620911,4.347826087,5.006257822,3.925795021,5.280592706,18.54333,20.79,19.16667,14.68,22.03,19.16667,19.16667,19.16667,81.45667,79.21,80.83333,85.32,77.97,80.83333,80.83333,80.83333,24.69,27.11,35.1,27.58,31.685,38.2,21.88,40.24,45.68,60.53,45.24,56.41,55.05166667,51.19,69.28,47.66,3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.67,14.28,9.02,10.09,7.33,6.57,6.84,8.67,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,113.0205,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796
226.7629488,88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,4.52173913,4.347826087,3.848620911,4.347826087,5.006257822,3.925795021,5.280592706,4.848484848,20.79,19.16667,14.68,22.03,19.16667,19.16667,19.16667,21.35,79.21,80.83333,85.32,77.97,80.83333,80.83333,80.83333,78.65,27.11,35.1,27.58,31.685,38.2,21.88,40.24,25.78,60.53,45.24,56.41,55.05166667,51.19,69.28,47.66,62.25,3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,14.28,9.02,10.09,7.33,6.57,6.84,8.67,14.15,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,234.4697,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556
88.82289417,138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,4.347826087,3.848620911,4.347826087,5.006257822,3.925795021,5.280592706,4.848484848,4.170141785,19.16667,14.68,22.03,19.16667,19.16667,19.16667,21.35,19.53667,80.83333,85.32,77.97,80.83333,80.83333,80.83333,78.65,80.46333,35.1,27.58,31.685,38.2,21.88,40.24,25.78,33.34,45.24,56.41,55.05166667,51.19,69.28,47.66,62.25,48.9,4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335,4.132,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,9.02,10.09,7.33,6.57,6.84,8.67,14.15,9.31,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,85.5346,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777
138.4943182,92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,3.848620911,4.347826087,5.006257822,3.925795021,5.280592706,4.848484848,4.170141785,4.003202562,14.68,22.03,19.16667,19.16667,19.16667,21.35,19.53667,19.08,85.32,77.97,80.83333,80.83333,80.83333,78.65,80.46333,80.92,27.58,31.685,38.2,21.88,40.24,25.78,33.34,25.8,56.41,55.05166667,51.19,69.28,47.66,62.25,48.9,59.14,4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335,4.132,4.0557,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,10.09,7.33,6.57,6.84,8.67,14.15,9.31,10.11,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,133.1974,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631
92.76765376,89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,4.347826087,5.006257822,3.925795021,5.280592706,4.848484848,4.170141785,4.003202562,5.008768167,22.03,19.16667,19.16667,19.16667,21.35,19.53667,19.08,18.18,77.97,80.83333,80.83333,80.83333,78.65,80.46333,80.92,81.82,31.685,38.2,21.88,40.24,25.78,33.34,25.8,29.94666667,55.05166667,51.19,69.28,47.66,62.25,48.9,59.14,57.52666667,3.744566667,4.1931,3.1942,3.2366,3.3335,4.132,4.0557,3.658316667,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,7.33,6.57,6.84,8.67,14.15,9.31,10.11,7.36,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,118.6722,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828
89.44945207,85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,5.006257822,3.925795021,5.280592706,4.848484848,4.170141785,4.003202562,5.008768167,6.230590062,19.16667,19.16667,19.16667,21.35,19.53667,19.08,18.18,19.53667,80.83333,80.83333,80.83333,78.65,80.46333,80.92,81.82,80.46333,38.2,21.88,40.24,25.78,33.34,25.8,29.94666667,37.75,51.19,69.28,47.66,62.25,48.9,59.14,57.52666667,51.56,4.1931,3.1942,3.2366,3.3335,4.132,4.0557,3.658316667,4.0604,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,6.57,6.84,8.67,14.15,9.31,10.11,7.36,6.58,6.70212766,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,74.3473,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853
85.17992424,130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,3.925795021,5.280592706,4.848484848,4.170141785,4.003202562,5.008768167,6.230590062,4.854368932,19.16667,19.16667,21.35,19.53667,19.08,18.18,19.53667,19.53667,80.83333,80.83333,78.65,80.46333,80.92,81.82,80.46333,80.46333,21.88,40.24,25.78,33.34,25.8,29.94666667,37.75,19.86,69.28,47.66,62.25,48.9,59.14,57.52666667,51.56,72.17,3.1942,3.2366,3.3335,4.132,4.0557,3.658316667,4.0604,3.1138,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,6.84,8.67,14.15,9.31,10.11,7.36,6.58,6.69,2.510638298,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,73.3933,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924
130.9689487,223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,5.280592706,4.848484848,4.170141785,4.003202562,5.008768167,6.230590062,4.854368932,5.002501251,19.16667,21.35,19.53667,19.08,18.18,19.53667,19.53667,19.53667,80.83333,78.65,80.46333,80.92,81.82,80.46333,80.46333,80.46333,40.24,25.78,33.34,25.8,29.94666667,37.75,19.86,37.15,47.66,62.25,48.9,59.14,57.52666667,51.56,72.17,51.14,3.2366,3.3335,4.132,4.0557,3.658316667,4.0604,3.1138,3.2545,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.67,14.15,9.31,10.11,7.36,6.58,6.69,8.79,4.617021277,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,111.0908,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008
223.2101617,87.14030178,136.4502768,91.79091645,88.26650943,84.76685744,129.0262866,219.7916667,4.848484848,4.170141785,4.003202562,5.008768167,6.230590062,4.854368932,5.002501251,4.776192846,21.35,19.53667,19.08,18.18,19.53667,19.53667,19.53667,22.79,78.65,80.46333,80.92,81.82,80.46333,80.46333,80.46333,77.21,25.78,33.34,25.8,29.94666667,37.75,19.86,37.15,25.04,62.25,48.9,59.14,57.52666667,51.56,72.17,51.14,63.15,3.3335,4.132,4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,14.15,9.31,10.11,7.36,6.58,6.69,8.79,14.11,7.276595745,2.489361702,8.106382979,3.234042553,6.70212766,2.510638298,4.617021277,7.276595745,231.1999,84.4796,129.9556,117.9777,79.9631,73.2828,108.9853,228.924,84.1008,126.9658
