MLPt-5,MSPt-7,MSPt-6,IVt-1,IVt-5,IVt-7,IVt-6,MLPt-6,MLPt-7,DVt-6,DVt-7,MLPt-2,MLPt-3,MLPt-4,MLPt-1
93.70199693,85.9652,132.6075,27.11,33.82,37.28,30.27,138.1814989,89.10828025,53.0,41.6,132.6190476,85.84809863,88.38443396,226.7629488
88.38443396,132.6075,119.133,35.1,39.75,30.27,33.82,93.70199693,138.1814989,52.43833,53.0,226.7629488,132.6190476,85.84809863,88.82289417
85.84809863,119.133,74.47,27.58,42.33,33.82,39.75,88.38443396,93.70199693,49.19,52.43833,88.82289417,226.7629488,132.6190476,138.4943182
132.6190476,74.47,73.0457,31.685,24.69,39.75,42.33,85.84809863,88.38443396,66.5,49.19,138.4943182,88.82289417,226.7629488,92.76765376
226.7629488,73.0457,113.0205,38.2,27.11,42.33,24.69,132.6190476,85.84809863,45.68,66.5,92.76765376,138.4943182,88.82289417,89.44945207
88.82289417,113.0205,234.4697,21.88,35.1,24.69,27.11,226.7629488,132.6190476,60.53,45.68,89.44945207,92.76765376,138.4943182,85.17992424
138.4943182,234.4697,85.5346,40.24,27.58,27.11,35.1,88.82289417,226.7629488,45.24,60.53,85.17992424,89.44945207,92.76765376,130.9689487
92.76765376,85.5346,133.1974,25.78,31.685,35.1,27.58,138.4943182,88.82289417,56.41,45.24,130.9689487,85.17992424,89.44945207,223.2101617
89.44945207,133.1974,118.6722,33.34,38.2,27.58,31.685,92.76765376,138.4943182,55.05166667,56.41,223.2101617,130.9689487,85.17992424,87.14030178
85.17992424,118.6722,74.3473,25.8,21.88,31.685,38.2,89.44945207,92.76765376,51.19,55.05166667,87.14030178,223.2101617,130.9689487,136.4502768
130.9689487,74.3473,73.3933,29.94666667,40.24,38.2,21.88,85.17992424,89.44945207,69.28,51.19,136.4502768,87.14030178,223.2101617,91.79091645
223.2101617,73.3933,111.0908,37.75,25.78,21.88,40.24,130.9689487,85.17992424,47.66,69.28,91.79091645,136.4502768,87.14030178,88.26650943
87.14030178,111.0908,231.1999,19.86,33.34,40.24,25.78,223.2101617,130.9689487,62.25,47.66,88.26650943,91.79091645,136.4502768,84.76685744
136.4502768,231.1999,84.4796,37.15,25.8,25.78,33.34,87.14030178,223.2101617,48.9,62.25,84.76685744,88.26650943,91.79091645,129.0262866
91.79091645,84.4796,129.9556,25.04,29.94666667,33.34,25.8,136.4502768,87.14030178,59.14,48.9,129.0262866,84.76685744,88.26650943,219.7916667
88.26650943,129.9556,117.9777,31.63,37.75,25.8,29.94666667,91.79091645,136.4502768,57.52666667,59.14,219.7916667,129.0262866,84.76685744,87.48435544
84.76685744,117.9777,79.9631,24.91,19.86,29.94666667,37.75,88.26650943,91.79091645,51.56,57.52666667,87.48435544,219.7916667,129.0262866,136.9513539
129.0262866,79.9631,73.2828,28.71833333,37.15,37.75,19.86,84.76685744,88.26650943,72.17,51.56,136.9513539,87.48435544,219.7916667,91.66666667
219.7916667,73.2828,108.9853,37.58,25.04,19.86,37.15,129.0262866,84.76685744,51.14,72.17,91.66666667,136.9513539,87.48435544,87.61682243
87.48435544,108.9853,228.924,18.36,31.63,37.15,25.04,219.7916667,129.0262866,63.15,51.14,87.61682243,91.66666667,136.9513539,81.89398451
136.9513539,228.924,84.1008,34.79,24.91,25.04,31.63,87.48435544,219.7916667,51.22,63.15,81.89398451,87.61682243,91.66666667,126.1807308
91.66666667,84.1008,126.9658,23.84,28.71833333,31.63,24.91,136.9513539,87.48435544,60.42,51.22,126.1807308,81.89398451,87.61682243,215.7326131
87.61682243,126.9658,115.4132,30.43,37.58,24.91,28.71833333,91.66666667,136.9513539,59.15666667,60.42,215.7326131,126.1807308,81.89398451,88.57142857
81.89398451,115.4132,71.6053,24.15,18.36,28.71833333,37.58,87.61682243,91.66666667,52.22,59.15666667,88.57142857,215.7326131,126.1807308,137.0389344
126.1807308,71.6053,69.2544,28.26,34.79,37.58,18.36,81.89398451,87.61682243,73.89,52.22,137.0389344,88.57142857,215.7326131,94.38522398
215.7326131,69.2544,111.6288,38.87,23.84,18.36,34.79,126.1807308,81.89398451,54.04,73.89,94.38522398,137.0389344,88.57142857,81.25
88.57142857,111.6288,229.718,17.62,30.43,34.79,23.84,215.7326131,126.1807308,64.81,54.04,81.25,94.38522398,137.0389344,80.70149231
137.0389344,229.718,82.0749,34.65,24.15,23.84,30.43,88.57142857,215.7326131,52.83,64.81,80.70149231,81.25,94.38522398,126.9146608
94.38522398,82.0749,127.5368,23.27,28.26,30.43,24.15,137.0389344,88.57142857,61.35,52.83,126.9146608,80.70149231,81.25,220.7142857
81.25,127.5368,114.5715,33.64,38.87,24.15,28.26,94.38522398,137.0389344,59.895,61.35,220.7142857,126.9146608,80.70149231,88.59223301
80.70149231,114.5715,66.6447,24.58,17.62,28.26,38.87,81.25,94.38522398,50.89,59.895,88.59223301,220.7142857,126.9146608,137.2847816
126.9146608,66.6447,69.0471,28.50166667,34.65,38.87,17.62,80.70149231,81.25,75.29,50.89,137.2847816,88.59223301,220.7142857,94.5045045
220.7142857,69.0471,112.4075,38.6,23.27,17.62,34.65,126.9146608,80.70149231,54.2,75.29,94.5045045,137.2847816,88.59223301,86.60130719
88.59223301,112.4075,229.1252,20.29,33.64,34.65,23.27,220.7142857,126.9146608,66.12,54.2,86.60130719,94.5045045,137.2847816,78.58154589
137.2847816,229.1252,80.9617,30.63,24.58,23.27,33.64,88.59223301,220.7142857,49.53,66.12,78.58154589,86.60130719,94.5045045,127.9229711
94.5045045,80.9617,127.5923,21.27,28.50166667,33.64,24.58,137.2847816,88.59223301,61.37,49.53,127.9229711,78.58154589,86.60130719,218.2038905
86.60130719,127.5923,113.4748,32.04,38.6,24.58,28.50166667,94.5045045,137.2847816,59.86666667,61.37,218.2038905,127.9229711,78.58154589,88.99676375
78.58154589,113.4748,65.4049,23.55,20.29,28.50166667,38.6,86.60130719,94.5045045,51.34,59.86666667,88.99676375,218.2038905,127.9229711,136.6592757
127.9229711,65.4049,70.1678,27.29,30.63,38.6,20.29,78.58154589,86.60130719,72.07,51.34,136.6592757,88.99676375,218.2038905,94.21841542
218.2038905,70.1678,107.5967,37.72,21.27,20.29,30.63,127.9229711,78.58154589,58.77,72.07,94.21841542,136.6592757,88.99676375,87.56223282
88.99676375,107.5967,230.8938,20.6,32.04,30.63,21.27,218.2038905,127.9229711,68.57,58.77,87.56223282,94.21841542,136.6592757,80.81723668
136.6592757,230.8938,81.9961,28.56,23.55,21.27,32.04,88.99676375,218.2038905,50.66,68.57,80.81723668,87.56223282,94.21841542,132.2916667
94.21841542,81.9961,128.1435,19.62,27.29,32.04,23.55,136.6592757,88.99676375,61.98,50.66,132.2916667,80.81723668,87.56223282,218.9868369
87.56223282,128.1435,114.4527,31.35,37.72,23.55,27.29,94.21841542,136.6592757,61.04,61.98,218.9868369,132.2916667,80.81723668,87.5
80.81723668,114.4527,67.8636,21.73,20.6,27.29,37.72,87.56223282,94.21841542,52.46,61.04,87.5,218.9868369,132.2916667,133.8392857
132.2916667,67.8636,71.5832,26.24333333,28.56,37.72,20.6,80.81723668,87.56223282,71.54,52.46,133.8392857,87.5,218.9868369,94.23222358
218.9868369,71.5832,106.2361,35.92,19.62,20.6,28.56,132.2916667,80.81723668,61.03,71.54,94.23222358,133.8392857,87.5,89.02616279
87.5,106.2361,230.3119,20.42,31.35,28.56,19.62,218.9868369,132.2916667,70.91,61.03,89.02616279,94.23222358,133.8392857,81.71728972
133.8392857,230.3119,84.5018,28.42,21.73,19.62,31.35,87.5,218.9868369,50.92,70.91,81.71728972,89.02616279,94.23222358,133.0173259
94.23222358,84.5018,128.4869,18.16,26.24333333,31.35,21.73,133.8392857,87.5,64.25,50.92,133.0173259,81.71728972,89.02616279,216.5097755
89.02616279,128.4869,115.9607,30.49,35.92,21.73,26.24333333,94.23222358,133.8392857,62.21666667,64.25,216.5097755,133.0173259,81.71728972,86.65813951
81.71728972,115.9607,70.6416,20.31,20.42,26.24333333,35.92,89.02616279,94.23222358,53.8,62.21666667,86.65813951,216.5097755,133.0173259,133.2291667
