DT,MLP,MPC,SFL,SFG,IV,DV,TNV,BSI,PTR,MHI,MSP
2010-10-05,228.5034902,4.454342984,21.49,78.51,28.6,58.66,3.5551,8.693957115,14.31,7.276595745,235.5711
2010-10-10,89.10828025,4.08,18.54333,81.45667,37.28,41.6,4.5416,5.828460039,9.91,2.489361702,85.9652
2010-10-15,138.1814989,4.00160064,17.05,82.95,30.27,53,4.1326,8.518518519,10.23,8.106382979,132.6075
2010-10-18,93.70199693,4.003202562,17.09,82.91,33.82,52.43833,3.949267,8.050682261,7.4,3.234042553,119.133
2010-10-20,88.38443396,6.253908693,18.54333,81.45667,39.75,49.19,4.2649,9.571150097,6.66,6.70212766,74.47
2010-10-25,85.84809863,4.361370717,18.54333,81.45667,42.33,66.5,3.5143,9.766081871,6.84,2.510638298,73.0457
2010-10-28,132.6190476,5.409060176,18.54333,81.45667,24.69,45.68,3.6871,8.771929825,8.67,4.617021277,113.0205
2010-11-05,226.7629488,4.52173913,20.79,79.21,27.11,60.53,3.4562,8.693957115,14.28,7.276595745,234.4697
2010-11-10,88.82289417,4.347826087,19.16667,80.83333,35.1,45.24,4.2178,5.828460039,9.02,2.489361702,85.5346
2010-11-15,138.4943182,3.848620911,14.68,85.32,27.58,56.41,4.1695,8.518518519,10.09,8.106382979,133.1974
2010-11-18,92.76765376,4.347826087,22.03,77.97,31.685,55.05166667,3.744566667,8.050682261,7.33,3.234042553,118.6722
2010-11-20,89.44945207,5.006257822,19.16667,80.83333,38.2,51.19,4.1931,9.571150097,6.57,6.70212766,74.3473
2010-11-25,85.17992424,3.925795021,19.16667,80.83333,21.88,69.28,3.1942,9.766081871,6.84,2.510638298,73.3933
2010-11-28,130.9689487,5.280592706,19.16667,80.83333,40.24,47.66,3.2366,8.771929825,8.67,4.617021277,111.0908
2010-12-05,223.2101617,4.848484848,21.35,78.65,25.78,62.25,3.3335,8.693957115,14.15,7.276595745,231.1999
2010-12-10,87.14030178,4.170141785,19.53667,80.46333,33.34,48.9,4.132,5.828460039,9.31,2.489361702,84.4796
2010-12-15,136.4502768,4.003202562,19.08,80.92,25.8,59.14,4.0557,8.518518519,10.11,8.106382979,129.9556
2010-12-18,91.79091645,5.008768167,18.18,81.82,29.94666667,57.52666667,3.658316667,8.050682261,7.36,3.234042553,117.9777
2010-12-20,88.26650943,6.230590062,19.53667,80.46333,37.75,51.56,4.0604,9.571150097,6.58,6.70212766,79.9631
2010-12-25,84.76685744,4.854368932,19.53667,80.46333,19.86,72.17,3.1138,9.766081871,6.69,2.510638298,73.2828
2010-12-28,129.0262866,5.002501251,19.53667,80.46333,37.15,51.14,3.2545,8.771929825,8.79,4.617021277,108.9853
2011-01-05,219.7916667,4.776192846,22.79,77.21,25.04,63.15,3.3076,8.693957115,14.11,7.276595745,228.924
2011-01-10,87.48435544,4.155872193,20.42667,79.57333,31.63,51.22,4.123,5.828460039,8.65,2.489361702,84.1008
2011-01-15,136.9513539,3.585230572,18.24,81.76,24.91,60.42,4.0942,8.518518519,10.09,8.106382979,126.9658
2011-01-18,91.66666667,4.16,20.25,79.75,28.71833333,59.15666667,3.774883333,8.050682261,7.55,3.234042553,115.4132
2011-01-20,87.61682243,5.644171779,20.42667,79.57333,37.58,52.22,4.0711,9.571150097,6.65,6.70212766,71.6053
2011-01-25,81.89398451,4.299863286,20.42667,79.57333,18.36,73.89,3.288,9.766081871,6.72,2.510638298,69.2544
2011-01-28,126.1807308,5.406866721,20.42667,79.57333,34.79,54.04,3.7654,8.771929825,8.74,4.617021277,111.6288
2011-02-05,215.7326131,4.763416958,23.85,76.15,23.84,64.81,3.3114,8.693957115,13.99,7.276595745,229.718
2011-02-10,88.57142857,3.848620911,25.21,74.79,30.43,52.83,4.0829,5.828460039,8.35,2.489361702,82.0749
2011-02-15,137.0389344,3.670818021,24.19,75.81,24.15,61.35,4.1068,8.518518519,10.38,8.106382979,127.5368
2011-02-18,94.38522398,3.715488215,27.59,72.41,28.26,59.895,3.7584,8.050682261,7.35,3.234042553,114.5715
2011-02-20,81.25,6.081601232,25.21,74.79,38.87,50.89,4.0404,9.571150097,6.66,6.70212766,66.6447
2011-02-25,80.70149231,4.383310567,25.21,74.79,17.62,75.29,3.2628,9.766081871,6.67,2.510638298,69.0471
2011-02-28,126.9146608,4.773534974,25.21,74.79,34.65,54.2,3.7461,8.771929825,8.65,4.617021277,112.4075
2011-03-05,220.7142857,4.484304933,24.3,75.7,23.27,66.12,3.287,8.693957115,13.89,7.276595745,229.1252
2011-03-10,88.59223301,3.743237582,25.26,74.74,33.64,49.53,3.9838,5.828460039,8.1,2.489361702,80.9617
2011-03-15,137.2847816,3.628866627,23.08,76.92,24.58,61.37,4.0928,8.518518519,10.66,8.106382979,127.5923
2011-03-18,94.5045045,3.849114704,28.4,71.6,28.50166667,59.86666667,3.7085,8.050682261,7.41,3.234042553,113.4748
2011-03-20,86.60130719,5.343604295,25.26,74.74,38.6,51.34,3.9699,9.571150097,6.66,6.70212766,65.4049
2011-03-25,78.58154589,4.200565461,25.26,74.74,20.29,72.07,3.2517,9.766081871,6.71,2.510638298,70.1678
2011-03-28,127.9229711,6.183823529,25.26,74.74,30.63,58.77,3.6658,8.771929825,8.58,4.617021277,107.5967
2011-04-05,218.2038905,4.264392324,24.02,75.98,21.27,68.57,3.2542,8.693957115,13.8,7.276595745,230.8938
2011-04-10,88.99676375,3.706449222,22.50667,77.49333,32.04,50.66,3.8503,5.828460039,7.92,2.489361702,81.9961
2011-04-15,136.6592757,3.565649561,21.2,78.8,23.55,61.98,4.0313,8.518518519,10.64,8.106382979,128.1435
2011-04-18,94.21841542,4.170141785,22.3,77.7,27.29,61.04,3.627066667,8.050682261,7.5,3.234042553,114.4527
2011-04-20,87.56223282,5.730004572,22.50667,77.49333,37.72,52.46,3.9081,9.571150097,6.53,6.70212766,67.8636
2011-04-25,80.81723668,4.008016032,22.50667,77.49333,20.6,71.54,3.1255,9.766081871,6.53,2.510638298,71.5832
2011-04-28,132.2916667,4.965517241,22.50667,77.49333,28.56,61.03,3.593,8.771929825,8.43,4.617021277,106.2361
2011-05-05,218.9868369,4.242424242,24.35,75.65,19.62,70.91,3.2217,8.693957115,13.72,7.276595745,230.3119
2011-05-10,87.5,3.706449222,21.6,78.4,31.35,50.92,3.7195,5.828460039,7.82,2.489361702,84.5018
2011-05-15,133.8392857,3.449167914,22.4,77.6,21.73,64.25,3.9536,8.518518519,10.46,8.106382979,128.4869
2011-05-18,94.23222358,3.849114704,18.05,81.95,26.24333333,62.21666667,3.56565,8.050682261,7.6,3.234042553,115.9607
2011-05-20,89.02616279,5.003175183,21.6,78.4,35.92,53.8,3.8402,9.571150097,6.58,6.70212766,70.6416
2011-05-25,81.71728972,3.706449222,21.6,78.4,20.42,72.04,3.1035,9.766081871,6.53,2.510638298,70.7994
2011-05-28,133.0173259,5.002501251,21.6,78.4,28.42,61.38,3.5554,8.771929825,8.25,4.617021277,111.0226
2011-06-05,216.5097755,4.347826087,23.82,76.18,18.16,72.71,3.1587,8.693957115,13.62,7.276595745,230.2628
2011-06-10,86.65813951,3.706449222,19.97667,80.02333,30.49,51.95,3.4159,5.828460039,7.74,2.489361702,86.2123
2011-06-15,133.2291667,3.572704537,17.4,82.6,20.31,65.97,3.7719,8.518518519,10.35,8.106382979,132.6607
2011-06-18,94.64506173,4.003202562,18.71,81.29,25.06833333,63.57333333,3.380466667,8.050682261,7.67,3.234042553,117.1555
2011-06-20,89.55228327,5.120064241,19.97667,80.02333,34.84,54.68,3.6809,9.571150097,6.48,6.70212766,68.5787
2011-06-25,83.26923077,4.168403501,19.97667,80.02333,21.18,71.39,2.8937,9.766081871,6.35,2.510638298,75.3007
2011-06-28,133.3333333,5.177819471,19.97667,80.02333,25.43,64.74,3.3617,8.771929825,8.22,4.617021277,109.9177
2011-07-05,214.2709837,4.4,21.61,78.39,17.26,73.8,3.0483,8.693957115,13.56,7.276595745,233.7741
2011-07-10,82.44739756,3.799654577,20.05,79.95,30.63,51.88,3.4844,5.828460039,7.76,2.489361702,87.6372
2011-07-15,132.7898551,3.584871956,18,82,19.94,66.59,3.69,8.518518519,10.42,8.106382979,132.8961
2011-07-18,94.90740741,4.168403501,20.54,79.46,24.90333333,63.88666667,3.35365,8.050682261,7.81,3.234042553,118.3722
2011-07-20,90.12623986,5.412719892,20.05,79.95,32.98,56.46,3.7068,9.571150097,6.49,6.70212766,69.6674
2011-07-25,83.50144092,4.170141785,20.05,79.95,23.05,69.44,2.9135,9.766081871,6.34,2.510638298,75.2878
2011-07-28,133.3333333,4.668674699,20.05,79.95,25.56,65.15,3.2789,8.771929825,8.19,4.617021277,110.9705
2011-08-05,212.4740591,4.434782609,22.74,77.26,16.74,74.25,3.0977,8.693957115,13.41,7.276595745,233.7281
2011-08-10,76.64291403,4,21.17667,78.82333,33.57,48.18,3.5732,5.828460039,7.8,2.489361702,87.4962
2011-08-15,130.7797468,3.513513514,19.86,80.14,19.9,66.67,3.7429,8.518518519,10.5,8.106382979,131.6312
2011-08-18,93.89933166,4.00160064,20.93,79.07,25.165,63.39,3.415566667,8.050682261,7.96,3.234042553,117.8438
2011-08-20,88.54166667,5.506079693,21.17667,78.82333,32.36,57.45,3.7876,9.571150097,6.32,6.70212766,71.0805
2011-08-25,82.80319532,4.606741573,21.17667,78.82333,24.93,66.75,2.9327,9.766081871,6.18,2.510638298,74.3713
2011-08-28,133.4021568,4.764173416,21.17667,78.82333,23.49,67.04,3.3593,8.771929825,8.14,4.617021277,108.7553
2011-09-05,210.9404481,4.547521601,23.2,76.8,16.36,74.48,3.0984,8.693957115,13.38,7.276595745,230.7781
2011-09-10,75.60558789,3.921826693,19.20333,80.79667,36.14,45.02,3.6112,5.828460039,7.78,2.489361702,86.434
2011-09-15,129.9452664,3.706449222,18.31,81.69,21.42,64.87,3.7379,8.518518519,10.66,8.106382979,129.1648
2011-09-18,93.6103425,4.00160064,16.1,83.9,26.23333333,61.95833333,3.423266667,8.050682261,7.99,3.234042553,117.354
2011-09-20,88.77777778,5.264543666,19.20333,80.79667,33.08,56.88,3.8274,9.571150097,6.28,6.70212766,74.0448
2011-09-25,80.64236111,5.066684414,19.20333,80.79667,26.79,64.06,2.923,9.766081871,6.22,2.510638298,75.8239
2011-09-28,131.9776905,5.278467364,19.20333,80.79667,23.61,66.44,3.3417,8.771929825,8.2,4.617021277,107.8786
2011-10-05,209.1776799,4.546487838,24.55,75.45,16.22,74.98,3.1041,8.693957115,13.39,7.276595745,227.3584
2011-10-10,76,4.003083861,22.44,77.56,39.23,41.63,3.8695,5.828460039,7.8,2.489361702,86.2865
2011-10-15,130.0374365,3.823121487,20.61,79.39,24.57,61.56,3.7603,8.518518519,10.7,8.106382979,130.6538
2011-10-18,92.7895882,3.855887824,22.16,77.84,28.33666667,59.41833333,3.51185,8.050682261,7.95,3.234042553,117.9588
2011-10-20,87.32517483,5.560189476,22.44,77.56,35.13,54.69,3.9256,9.571150097,6.28,6.70212766,77.7368
2011-10-25,79.36507937,4.170141785,22.44,77.56,29.49,59.67,2.9902,9.766081871,6.49,2.510638298,75.7496
2011-10-28,132.7857393,5.192949023,22.44,77.56,25.38,63.98,3.4214,8.771929825,8.2,4.617021277,109.9677
2011-11-05,207.1290944,4.566210046,23.95,76.05,15.94,75.46,3.0984,8.693957115,13.42,7.276595745,221.4781
2011-11-10,73.992891,4.010025063,23.26,76.74,41.95,39.09,3.8679,5.828460039,7.83,2.489361702,86.2178
2011-11-15,131.2192455,4.00040008,20.19,79.81,26.11,60.32,3.7434,8.518518519,10.74,8.106382979,128.3126
2011-11-18,92.97800338,4.163333333,25.64,74.36,30.04666667,57.725,3.501233333,8.050682261,7.93,3.234042553,116.5057
2011-11-20,88.09055118,5.885817224,23.26,76.74,37.25,52.72,3.8884,9.571150097,6.32,6.70212766,74.5605
2011-11-25,78.15968379,4,23.26,76.74,33.12,56.02,3.0317,9.766081871,6.71,2.510638298,72.4813
2011-11-28,130.4179567,5.002501251,23.26,76.74,25.91,62.74,3.3776,8.771929825,8.51,4.617021277,115.9838
2011-12-05,204.082563,4.854368932,24.58,75.42,16,75.55,3.103,8.693957115,13.46,7.276595745,215.0015
2011-12-10,72.24025974,4.255319149,23.17333,76.82667,43.5,37.9,3.8976,5.828460039,7.88,2.489361702,85.31
2011-12-15,131.3197636,4.338153504,21.36,78.64,27.09,59.57,3.7224,8.518518519,10.8,8.106382979,127.7413
2011-12-18,92.586931,4.499067575,23.58,76.42,31.85166667,55.84166667,3.512283333,8.050682261,7.87,3.234042553,112.7881
2011-12-20,86.37837838,5.000649773,23.17333,76.82667,41.66,48.17,3.9098,9.571150097,6.23,6.70212766,73.3758
2011-12-25,75.41007773,4.253521127,23.17333,76.82667,36.48,52.1,3.1748,9.766081871,7,2.510638298,71.3695
2011-12-28,129.8076923,6.034449419,23.17333,76.82667,26.38,61.76,3.2661,8.771929825,8.58,4.617021277,103.9302
2012-01-05,204.9324721,4.651400757,25.52,74.48,15.74,75.87,3.1368,8.693957115,13.49,7.276595745,212.1263
2012-01-10,74.4966443,3.703703704,23.48333,76.51667,42.71,39.4,3.9215,5.828460039,7.85,2.489361702,85.2237
2012-01-15,133.1113801,3.583570828,24.16,75.84,28.08,58.2,3.7346,8.518518519,10.8,8.106382979,124.8808
2012-01-18,92.25427105,4.002401601,20.77,79.23,33.565,54.10666667,3.5282,8.050682261,7.88,3.234042553,111.1893
2012-01-20,84.71932497,5.219601632,23.48333,76.51667,47.04,42.19,3.8897,9.571150097,6.38,6.70212766,69.36
2012-01-25,75.72446362,5.454980008,23.48333,76.51667,39.04,49.53,3.2813,9.766081871,7.2,2.510638298,71.5485
2012-01-28,126.1430469,5.350032733,23.48333,76.51667,28.78,59.45,3.2053,8.771929825,8.47,4.617021277,103.9964
2012-02-05,200,4.546832373,27.62,72.38,15.69,75.96,3.132,8.693957115,13.44,7.276595745,214.4316
2012-02-10,78.02919708,4.002401601,25.71667,74.28333,44.23,37.39,3.9737,5.828460039,7.83,2.489361702,84.6459
2012-02-15,134.555007,3.706449731,23.4,76.6,27.97,57.73,3.742,8.518518519,10.69,8.106382979,123.9332
2012-02-18,92.28824273,3.629536921,26.13,73.87,34.99666667,52.43833333,3.577716667,8.050682261,7.9,3.234042553,112.3211
2012-02-20,83.67945381,5.026529295,25.71667,74.28333,48.72,40.74,3.9391,9.571150097,6.47,6.70212766,67.9243
2012-02-25,75.712118,4.207453721,25.71667,74.28333,41.39,47.59,3.4514,9.766081871,7.47,2.510638298,72.9691
2012-02-28,126.443418,4.476797088,25.71667,74.28333,31.98,55.22,3.2281,8.771929825,8.47,4.617021277,110.0224
2012-03-05,208.5650723,4.28410372,26.59,73.41,16.13,75.46,3.1364,8.693957115,13.35,7.276595745,215.8652
