PTRt-12,PTRt-11,PTRt-10,PTRt-9,PTRt-8,PTRt-7,PTRt-6,PTRt-5,PTRt-4,PTRt-3,PTRt-2,PTRt-1
,,,,,,,,,,,
,,,,,,,,,,,14.31
,,,,,,,,,,14.31,9.91
,,,,,,,,,14.31,9.91,10.23
,,,,,,,,14.31,9.91,10.23,7.4
,,,,,,,14.31,9.91,10.23,7.4,6.66
,,,,,,14.31,9.91,10.23,7.4,6.66,6.84
,,,,,14.31,9.91,10.23,7.4,6.66,6.84,8.67
,,,,14.31,9.91,10.23,7.4,6.66,6.84,8.67,14.28
,,,14.31,9.91,10.23,7.4,6.66,6.84,8.67,14.28,9.02
,,14.31,9.91,10.23,7.4,6.66,6.84,8.67,14.28,9.02,10.09
,14.31,9.91,10.23,7.4,6.66,6.84,8.67,14.28,9.02,10.09,7.33
14.31,9.91,10.23,7.4,6.66,6.84,8.67,14.28,9.02,10.09,7.33,6.57
9.91,10.23,7.4,6.66,6.84,8.67,14.28,9.02,10.09,7.33,6.57,6.84
10.23,7.4,6.66,6.84,8.67,14.28,9.02,10.09,7.33,6.57,6.84,8.67
7.4,6.66,6.84,8.67,14.28,9.02,10.09,7.33,6.57,6.84,8.67,14.15
6.66,6.84,8.67,14.28,9.02,10.09,7.33,6.57,6.84,8.67,14.15,9.31
6.84,8.67,14.28,9.02,10.09,7.33,6.57,6.84,8.67,14.15,9.31,10.11
8.67,14.28,9.02,10.09,7.33,6.57,6.84,8.67,14.15,9.31,10.11,7.36
14.28,9.02,10.09,7.33,6.57,6.84,8.67,14.15,9.31,10.11,7.36,6.58
9.02,10.09,7.33,6.57,6.84,8.67,14.15,9.31,10.11,7.36,6.58,6.69
10.09,7.33,6.57,6.84,8.67,14.15,9.31,10.11,7.36,6.58,6.69,8.79
7.33,6.57,6.84,8.67,14.15,9.31,10.11,7.36,6.58,6.69,8.79,14.11
6.57,6.84,8.67,14.15,9.31,10.11,7.36,6.58,6.69,8.79,14.11,8.65
6.84,8.67,14.15,9.31,10.11,7.36,6.58,6.69,8.79,14.11,8.65,10.09
8.67,14.15,9.31,10.11,7.36,6.58,6.69,8.79,14.11,8.65,10.09,7.55
14.15,9.31,10.11,7.36,6.58,6.69,8.79,14.11,8.65,10.09,7.55,6.65
9.31,10.11,7.36,6.58,6.69,8.79,14.11,8.65,10.09,7.55,6.65,6.72
10.11,7.36,6.58,6.69,8.79,14.11,8.65,10.09,7.55,6.65,6.72,8.74
7.36,6.58,6.69,8.79,14.11,8.65,10.09,7.55,6.65,6.72,8.74,13.99
6.58,6.69,8.79,14.11,8.65,10.09,7.55,6.65,6.72,8.74,13.99,8.35
6.69,8.79,14.11,8.65,10.09,7.55,6.65,6.72,8.74,13.99,8.35,10.38
8.79,14.11,8.65,10.09,7.55,6.65,6.72,8.74,13.99,8.35,10.38,7.35
14.11,8.65,10.09,7.55,6.65,6.72,8.74,13.99,8.35,10.38,7.35,6.66
8.65,10.09,7.55,6.65,6.72,8.74,13.99,8.35,10.38,7.35,6.66,6.67
10.09,7.55,6.65,6.72,8.74,13.99,8.35,10.38,7.35,6.66,6.67,8.65
7.55,6.65,6.72,8.74,13.99,8.35,10.38,7.35,6.66,6.67,8.65,13.89
6.65,6.72,8.74,13.99,8.35,10.38,7.35,6.66,6.67,8.65,13.89,8.1
6.72,8.74,13.99,8.35,10.38,7.35,6.66,6.67,8.65,13.89,8.1,10.66
8.74,13.99,8.35,10.38,7.35,6.66,6.67,8.65,13.89,8.1,10.66,7.41
13.99,8.35,10.38,7.35,6.66,6.67,8.65,13.89,8.1,10.66,7.41,6.66
8.35,10.38,7.35,6.66,6.67,8.65,13.89,8.1,10.66,7.41,6.66,6.71
10.38,7.35,6.66,6.67,8.65,13.89,8.1,10.66,7.41,6.66,6.71,8.58
7.35,6.66,6.67,8.65,13.89,8.1,10.66,7.41,6.66,6.71,8.58,13.8
6.66,6.67,8.65,13.89,8.1,10.66,7.41,6.66,6.71,8.58,13.8,7.92
6.67,8.65,13.89,8.1,10.66,7.41,6.66,6.71,8.58,13.8,7.92,10.64
8.65,13.89,8.1,10.66,7.41,6.66,6.71,8.58,13.8,7.92,10.64,7.5
13.89,8.1,10.66,7.41,6.66,6.71,8.58,13.8,7.92,10.64,7.5,6.53
8.1,10.66,7.41,6.66,6.71,8.58,13.8,7.92,10.64,7.5,6.53,6.53
10.66,7.41,6.66,6.71,8.58,13.8,7.92,10.64,7.5,6.53,6.53,8.43
7.41,6.66,6.71,8.58,13.8,7.92,10.64,7.5,6.53,6.53,8.43,13.72
6.66,6.71,8.58,13.8,7.92,10.64,7.5,6.53,6.53,8.43,13.72,7.82
6.71,8.58,13.8,7.92,10.64,7.5,6.53,6.53,8.43,13.72,7.82,10.46
8.58,13.8,7.92,10.64,7.5,6.53,6.53,8.43,13.72,7.82,10.46,7.6
13.8,7.92,10.64,7.5,6.53,6.53,8.43,13.72,7.82,10.46,7.6,6.58
7.92,10.64,7.5,6.53,6.53,8.43,13.72,7.82,10.46,7.6,6.58,6.53
10.64,7.5,6.53,6.53,8.43,13.72,7.82,10.46,7.6,6.58,6.53,8.25
7.5,6.53,6.53,8.43,13.72,7.82,10.46,7.6,6.58,6.53,8.25,13.62
