SFGt-12,SFGt-11,SFGt-10,SFGt-9,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1
,,,,,,,,,,,
,,,,,,,,,,,72.94
,,,,,,,,,,72.94,76.00094654
,,,,,,,,,72.94,76.00094654,72.23290293
,,,,,,,,72.94,76.00094654,72.23290293,78.11827967
,,,,,,,72.94,76.00094654,72.23290293,78.11827967,78.2
,,,,,,72.94,76.00094654,72.23290293,78.11827967,78.2,69.11414897
,,,,,72.94,76.00094654,72.23290293,78.11827967,78.2,69.11414897,68.29
,,,,72.94,76.00094654,72.23290293,78.11827967,78.2,69.11414897,68.29,71.38
,,,72.94,76.00094654,72.23290293,78.11827967,78.2,69.11414897,68.29,71.38,70.27329414
,,72.94,76.00094654,72.23290293,78.11827967,78.2,69.11414897,68.29,71.38,70.27329414,70.31906472
,72.94,76.00094654,72.23290293,78.11827967,78.2,69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141
72.94,76.00094654,72.23290293,78.11827967,78.2,69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141,75.18
76.00094654,72.23290293,78.11827967,78.2,69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033
72.23290293,78.11827967,78.2,69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73
78.11827967,78.2,69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73,73.95
78.2,69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73,73.95,69.28378604
69.11414897,68.29,71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73,73.95,69.28378604,72.14111005
68.29,71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669
71.38,70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669,76.7
70.27329414,70.31906472,65.5988141,75.18,73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678
70.31906472,65.5988141,75.18,73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67
65.5988141,75.18,73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67,69.4
75.18,73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67,69.4,67.95886551
73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67,69.4,67.95886551,66.26035344
63.73,73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979
73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979,72.73
