SFGt-12,SFGt-11,SFGt-10,SFGt-9,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1
,,,,,,,,,,,
,,,,,,,,,,,78.51
,,,,,,,,,,78.51,81.45667
,,,,,,,,,78.51,81.45667,82.95
,,,,,,,,78.51,81.45667,82.95,82.91
,,,,,,,78.51,81.45667,82.95,82.91,81.45667
,,,,,,78.51,81.45667,82.95,82.91,81.45667,81.45667
,,,,,78.51,81.45667,82.95,82.91,81.45667,81.45667,81.45667
,,,,78.51,81.45667,82.95,82.91,81.45667,81.45667,81.45667,79.21
,,,78.51,81.45667,82.95,82.91,81.45667,81.45667,81.45667,79.21,80.83333
,,78.51,81.45667,82.95,82.91,81.45667,81.45667,81.45667,79.21,80.83333,85.32
,78.51,81.45667,82.95,82.91,81.45667,81.45667,81.45667,79.21,80.83333,85.32,77.97
78.51,81.45667,82.95,82.91,81.45667,81.45667,81.45667,79.21,80.83333,85.32,77.97,80.83333
81.45667,82.95,82.91,81.45667,81.45667,81.45667,79.21,80.83333,85.32,77.97,80.83333,80.83333
82.95,82.91,81.45667,81.45667,81.45667,79.21,80.83333,85.32,77.97,80.83333,80.83333,80.83333
82.91,81.45667,81.45667,81.45667,79.21,80.83333,85.32,77.97,80.83333,80.83333,80.83333,78.65
81.45667,81.45667,81.45667,79.21,80.83333,85.32,77.97,80.83333,80.83333,80.83333,78.65,80.46333
81.45667,81.45667,79.21,80.83333,85.32,77.97,80.83333,80.83333,80.83333,78.65,80.46333,80.92
81.45667,79.21,80.83333,85.32,77.97,80.83333,80.83333,80.83333,78.65,80.46333,80.92,81.82
79.21,80.83333,85.32,77.97,80.83333,80.83333,80.83333,78.65,80.46333,80.92,81.82,80.46333
80.83333,85.32,77.97,80.83333,80.83333,80.83333,78.65,80.46333,80.92,81.82,80.46333,80.46333
85.32,77.97,80.83333,80.83333,80.83333,78.65,80.46333,80.92,81.82,80.46333,80.46333,80.46333
77.97,80.83333,80.83333,80.83333,78.65,80.46333,80.92,81.82,80.46333,80.46333,80.46333,77.21
80.83333,80.83333,80.83333,78.65,80.46333,80.92,81.82,80.46333,80.46333,80.46333,77.21,79.57333
