SFLt-12,SFLt-11,SFLt-10,SFLt-9,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1
,,,,,,,,,,,
,,,,,,,,,,,27.06
,,,,,,,,,,27.06,22.28503613
,,,,,,,,,27.06,22.28503613,29.51497228
,,,,,,,,27.06,22.28503613,29.51497228,25.86893932
,,,,,,,27.06,22.28503613,29.51497228,25.86893932,21.8
,,,,,,27.06,22.28503613,29.51497228,25.86893932,21.8,27.80202204
,,,,,27.06,22.28503613,29.51497228,25.86893932,21.8,27.80202204,31.71
,,,,27.06,22.28503613,29.51497228,25.86893932,21.8,27.80202204,31.71,28.62
,,,27.06,22.28503613,29.51497228,25.86893932,21.8,27.80202204,31.71,28.62,34.29037593
,,27.06,22.28503613,29.51497228,25.86893932,21.8,27.80202204,31.71,28.62,34.29037593,36.14741818
,27.06,22.28503613,29.51497228,25.86893932,21.8,27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797
27.06,22.28503613,29.51497228,25.86893932,21.8,27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797,24.82
22.28503613,29.51497228,25.86893932,21.8,27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112
29.51497228,25.86893932,21.8,27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27
25.86893932,21.8,27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27,26.05
21.8,27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27,26.05,29.70409912
27.80202204,31.71,28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27,26.05,29.70409912,28.02849064
31.71,28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893
28.62,34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893,23.3
34.29037593,36.14741818,27.2948797,24.82,34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285
36.14741818,27.2948797,24.82,34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33
27.2948797,24.82,34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33,30.6
24.82,34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33,30.6,31.46978529
34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33,30.6,31.46978529,29.94044772
36.27,26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606
26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606,27.27
29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606,27.27,34.06905571
28.02849064,32.76166893,23.3,26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606,27.27,34.06905571,35.05
32.76166893,23.3,26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606,27.27,34.06905571,35.05,34.99
23.3,26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606,27.27,34.06905571,35.05,34.99,33.63038785
26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606,27.27,34.06905571,35.05,34.99,33.63038785,37.84520831
33.33,30.6,31.46978529,29.94044772,32.57281606,27.27,34.06905571,35.05,34.99,33.63038785,37.84520831,31.21518153
30.6,31.46978529,29.94044772,32.57281606,27.27,34.06905571,35.05,34.99,33.63038785,37.84520831,31.21518153,29.93
31.46978529,29.94044772,32.57281606,27.27,34.06905571,35.05,34.99,33.63038785,37.84520831,31.21518153,29.93,37.07692133
