SFLt-12,SFLt-11,SFLt-10,SFLt-9,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1
,,,,,,,,,,,
,,,,,,,,,,,21.49
,,,,,,,,,,21.49,18.54333
,,,,,,,,,21.49,18.54333,17.05
,,,,,,,,21.49,18.54333,17.05,17.09
,,,,,,,21.49,18.54333,17.05,17.09,18.54333
,,,,,,21.49,18.54333,17.05,17.09,18.54333,18.54333
,,,,,21.49,18.54333,17.05,17.09,18.54333,18.54333,18.54333
,,,,21.49,18.54333,17.05,17.09,18.54333,18.54333,18.54333,20.79
,,,21.49,18.54333,17.05,17.09,18.54333,18.54333,18.54333,20.79,19.16667
,,21.49,18.54333,17.05,17.09,18.54333,18.54333,18.54333,20.79,19.16667,14.68
,21.49,18.54333,17.05,17.09,18.54333,18.54333,18.54333,20.79,19.16667,14.68,22.03
21.49,18.54333,17.05,17.09,18.54333,18.54333,18.54333,20.79,19.16667,14.68,22.03,19.16667
18.54333,17.05,17.09,18.54333,18.54333,18.54333,20.79,19.16667,14.68,22.03,19.16667,19.16667
17.05,17.09,18.54333,18.54333,18.54333,20.79,19.16667,14.68,22.03,19.16667,19.16667,19.16667
17.09,18.54333,18.54333,18.54333,20.79,19.16667,14.68,22.03,19.16667,19.16667,19.16667,21.35
18.54333,18.54333,18.54333,20.79,19.16667,14.68,22.03,19.16667,19.16667,19.16667,21.35,19.53667
18.54333,18.54333,20.79,19.16667,14.68,22.03,19.16667,19.16667,19.16667,21.35,19.53667,19.08
18.54333,20.79,19.16667,14.68,22.03,19.16667,19.16667,19.16667,21.35,19.53667,19.08,18.18
20.79,19.16667,14.68,22.03,19.16667,19.16667,19.16667,21.35,19.53667,19.08,18.18,19.53667
19.16667,14.68,22.03,19.16667,19.16667,19.16667,21.35,19.53667,19.08,18.18,19.53667,19.53667
14.68,22.03,19.16667,19.16667,19.16667,21.35,19.53667,19.08,18.18,19.53667,19.53667,19.53667
22.03,19.16667,19.16667,19.16667,21.35,19.53667,19.08,18.18,19.53667,19.53667,19.53667,22.79
19.16667,19.16667,19.16667,21.35,19.53667,19.08,18.18,19.53667,19.53667,19.53667,22.79,20.42667
19.16667,19.16667,21.35,19.53667,19.08,18.18,19.53667,19.53667,19.53667,22.79,20.42667,18.24
19.16667,21.35,19.53667,19.08,18.18,19.53667,19.53667,19.53667,22.79,20.42667,18.24,20.25
21.35,19.53667,19.08,18.18,19.53667,19.53667,19.53667,22.79,20.42667,18.24,20.25,20.42667
19.53667,19.08,18.18,19.53667,19.53667,19.53667,22.79,20.42667,18.24,20.25,20.42667,20.42667
19.08,18.18,19.53667,19.53667,19.53667,22.79,20.42667,18.24,20.25,20.42667,20.42667,20.42667
18.18,19.53667,19.53667,19.53667,22.79,20.42667,18.24,20.25,20.42667,20.42667,20.42667,23.85
19.53667,19.53667,19.53667,22.79,20.42667,18.24,20.25,20.42667,20.42667,20.42667,23.85,25.21
19.53667,19.53667,22.79,20.42667,18.24,20.25,20.42667,20.42667,20.42667,23.85,25.21,24.19
