TNVt-12,TNVt-11,TNVt-10,TNVt-9,TNVt-8,TNVt-7,TNVt-6,TNVt-5,TNVt-4,TNVt-3,TNVt-2,TNVt-1
,,,,,,,,,,,
,,,,,,,,,,,5.1736
,,,,,,,,,,5.1736,5.3296
,,,,,,,,,5.1736,5.3296,4.821357471
,,,,,,,,5.1736,5.3296,4.821357471,4.7309
,,,,,,,5.1736,5.3296,4.821357471,4.7309,4.7021
,,,,,,5.1736,5.3296,4.821357471,4.7309,4.7021,5.088372336
,,,,,5.1736,5.3296,4.821357471,4.7309,4.7021,5.088372336,5.2037
,,,,5.1736,5.3296,4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117
,,,5.1736,5.3296,4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817
,,5.1736,5.3296,4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618
,5.1736,5.3296,4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776
5.1736,5.3296,4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656
5.3296,4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175
4.821357471,4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128
4.7309,4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101
4.7021,5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889
5.088372336,5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144
5.2037,5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356
5.4117,5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719
5.7817,5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649
5.634768618,4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544
4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295
4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831
4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668
5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071
5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071,4.9736
5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071,4.9736,5.46352579
5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071,4.9736,5.46352579,5.3934
4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071,4.9736,5.46352579,5.3934,5.4067
4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071,4.9736,5.46352579,5.3934,5.4067,5.8057
5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071,4.9736,5.46352579,5.3934,5.4067,5.8057,5.465087801
5.3544,5.4295,5.7831,4.688369668,4.6071,4.9736,5.46352579,5.3934,5.4067,5.8057,5.465087801,4.597
5.4295,5.7831,4.688369668,4.6071,4.9736,5.46352579,5.3934,5.4067,5.8057,5.465087801,4.597,5.123
5.7831,4.688369668,4.6071,4.9736,5.46352579,5.3934,5.4067,5.8057,5.465087801,4.597,5.123,4.819852715
4.688369668,4.6071,4.9736,5.46352579,5.3934,5.4067,5.8057,5.465087801,4.597,5.123,4.819852715,5.3446
4.6071,4.9736,5.46352579,5.3934,5.4067,5.8057,5.465087801,4.597,5.123,4.819852715,5.3446,5.3638
4.9736,5.46352579,5.3934,5.4067,5.8057,5.465087801,4.597,5.123,4.819852715,5.3446,5.3638,5.7608
5.46352579,5.3934,5.4067,5.8057,5.465087801,4.597,5.123,4.819852715,5.3446,5.3638,5.7608,5.573630293
5.3934,5.4067,5.8057,5.465087801,4.597,5.123,4.819852715,5.3446,5.3638,5.7608,5.573630293,4.5234
5.4067,5.8057,5.465087801,4.597,5.123,4.819852715,5.3446,5.3638,5.7608,5.573630293,4.5234,5.0924
5.8057,5.465087801,4.597,5.123,4.819852715,5.3446,5.3638,5.7608,5.573630293,4.5234,5.0924,4.976050829
5.465087801,4.597,5.123,4.819852715,5.3446,5.3638,5.7608,5.573630293,4.5234,5.0924,4.976050829,5.325
4.597,5.123,4.819852715,5.3446,5.3638,5.7608,5.573630293,4.5234,5.0924,4.976050829,5.325,5.2784
5.123,4.819852715,5.3446,5.3638,5.7608,5.573630293,4.5234,5.0924,4.976050829,5.325,5.2784,5.7168
4.819852715,5.3446,5.3638,5.7608,5.573630293,4.5234,5.0924,4.976050829,5.325,5.2784,5.7168,4.50943181
5.3446,5.3638,5.7608,5.573630293,4.5234,5.0924,4.976050829,5.325,5.2784,5.7168,4.50943181,4.4524
5.3638,5.7608,5.573630293,4.5234,5.0924,4.976050829,5.325,5.2784,5.7168,4.50943181,4.4524,4.9992
5.7608,5.573630293,4.5234,5.0924,4.976050829,5.325,5.2784,5.7168,4.50943181,4.4524,4.9992,5.045133057
5.573630293,4.5234,5.0924,4.976050829,5.325,5.2784,5.7168,4.50943181,4.4524,4.9992,5.045133057,5.2383
4.5234,5.0924,4.976050829,5.325,5.2784,5.7168,4.50943181,4.4524,4.9992,5.045133057,5.2383,5.158
5.0924,4.976050829,5.325,5.2784,5.7168,4.50943181,4.4524,4.9992,5.045133057,5.2383,5.158,5.656
4.976050829,5.325,5.2784,5.7168,4.50943181,4.4524,4.9992,5.045133057,5.2383,5.158,5.656,5.519218326
5.325,5.2784,5.7168,4.50943181,4.4524,4.9992,5.045133057,5.2383,5.158,5.656,5.519218326,4.3451
5.2784,5.7168,4.50943181,4.4524,4.9992,5.045133057,5.2383,5.158,5.656,5.519218326,4.3451,4.8826
5.7168,4.50943181,4.4524,4.9992,5.045133057,5.2383,5.158,5.656,5.519218326,4.3451,4.8826,4.871431571
4.50943181,4.4524,4.9992,5.045133057,5.2383,5.158,5.656,5.519218326,4.3451,4.8826,4.871431571,5.1276
4.4524,4.9992,5.045133057,5.2383,5.158,5.656,5.519218326,4.3451,4.8826,4.871431571,5.1276,5.0549
4.9992,5.045133057,5.2383,5.158,5.656,5.519218326,4.3451,4.8826,4.871431571,5.1276,5.0549,5.5284
5.045133057,5.2383,5.158,5.656,5.519218326,4.3451,4.8826,4.871431571,5.1276,5.0549,5.5284,4.798965365
