TNVt-12,TNVt-11,TNVt-10,TNVt-9,TNVt-8,TNVt-7,TNVt-6,TNVt-5,TNVt-4,TNVt-3,TNVt-2,TNVt-1
,,,,,,,,,,,
,,,,,,,,,,,3.5551
,,,,,,,,,,3.5551,4.5416
,,,,,,,,,3.5551,4.5416,4.1326
,,,,,,,,3.5551,4.5416,4.1326,3.949267
,,,,,,,3.5551,4.5416,4.1326,3.949267,4.2649
,,,,,,3.5551,4.5416,4.1326,3.949267,4.2649,3.5143
,,,,,3.5551,4.5416,4.1326,3.949267,4.2649,3.5143,3.6871
,,,,3.5551,4.5416,4.1326,3.949267,4.2649,3.5143,3.6871,3.4562
,,,3.5551,4.5416,4.1326,3.949267,4.2649,3.5143,3.6871,3.4562,4.2178
,,3.5551,4.5416,4.1326,3.949267,4.2649,3.5143,3.6871,3.4562,4.2178,4.1695
,3.5551,4.5416,4.1326,3.949267,4.2649,3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667
3.5551,4.5416,4.1326,3.949267,4.2649,3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931
4.5416,4.1326,3.949267,4.2649,3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942
4.1326,3.949267,4.2649,3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366
3.949267,4.2649,3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335
4.2649,3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335,4.132
3.5143,3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335,4.132,4.0557
3.6871,3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335,4.132,4.0557,3.658316667
3.4562,4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335,4.132,4.0557,3.658316667,4.0604
4.2178,4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335,4.132,4.0557,3.658316667,4.0604,3.1138
4.1695,3.744566667,4.1931,3.1942,3.2366,3.3335,4.132,4.0557,3.658316667,4.0604,3.1138,3.2545
3.744566667,4.1931,3.1942,3.2366,3.3335,4.132,4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076
4.1931,3.1942,3.2366,3.3335,4.132,4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076,4.123
3.1942,3.2366,3.3335,4.132,4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076,4.123,4.0942
3.2366,3.3335,4.132,4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076,4.123,4.0942,3.774883333
3.3335,4.132,4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076,4.123,4.0942,3.774883333,4.0711
4.132,4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076,4.123,4.0942,3.774883333,4.0711,3.288
4.0557,3.658316667,4.0604,3.1138,3.2545,3.3076,4.123,4.0942,3.774883333,4.0711,3.288,3.7654
3.658316667,4.0604,3.1138,3.2545,3.3076,4.123,4.0942,3.774883333,4.0711,3.288,3.7654,3.3114
4.0604,3.1138,3.2545,3.3076,4.123,4.0942,3.774883333,4.0711,3.288,3.7654,3.3114,4.0829
3.1138,3.2545,3.3076,4.123,4.0942,3.774883333,4.0711,3.288,3.7654,3.3114,4.0829,4.1068
3.2545,3.3076,4.123,4.0942,3.774883333,4.0711,3.288,3.7654,3.3114,4.0829,4.1068,3.7584
3.3076,4.123,4.0942,3.774883333,4.0711,3.288,3.7654,3.3114,4.0829,4.1068,3.7584,4.0404
4.123,4.0942,3.774883333,4.0711,3.288,3.7654,3.3114,4.0829,4.1068,3.7584,4.0404,3.2628
4.0942,3.774883333,4.0711,3.288,3.7654,3.3114,4.0829,4.1068,3.7584,4.0404,3.2628,3.7461
3.774883333,4.0711,3.288,3.7654,3.3114,4.0829,4.1068,3.7584,4.0404,3.2628,3.7461,3.287
4.0711,3.288,3.7654,3.3114,4.0829,4.1068,3.7584,4.0404,3.2628,3.7461,3.287,3.9838
3.288,3.7654,3.3114,4.0829,4.1068,3.7584,4.0404,3.2628,3.7461,3.287,3.9838,4.0928
3.7654,3.3114,4.0829,4.1068,3.7584,4.0404,3.2628,3.7461,3.287,3.9838,4.0928,3.7085
3.3114,4.0829,4.1068,3.7584,4.0404,3.2628,3.7461,3.287,3.9838,4.0928,3.7085,3.9699
4.0829,4.1068,3.7584,4.0404,3.2628,3.7461,3.287,3.9838,4.0928,3.7085,3.9699,3.2517
4.1068,3.7584,4.0404,3.2628,3.7461,3.287,3.9838,4.0928,3.7085,3.9699,3.2517,3.6658
3.7584,4.0404,3.2628,3.7461,3.287,3.9838,4.0928,3.7085,3.9699,3.2517,3.6658,3.2542
4.0404,3.2628,3.7461,3.287,3.9838,4.0928,3.7085,3.9699,3.2517,3.6658,3.2542,3.8503
3.2628,3.7461,3.287,3.9838,4.0928,3.7085,3.9699,3.2517,3.6658,3.2542,3.8503,4.0313
3.7461,3.287,3.9838,4.0928,3.7085,3.9699,3.2517,3.6658,3.2542,3.8503,4.0313,3.627066667
3.287,3.9838,4.0928,3.7085,3.9699,3.2517,3.6658,3.2542,3.8503,4.0313,3.627066667,3.9081
3.9838,4.0928,3.7085,3.9699,3.2517,3.6658,3.2542,3.8503,4.0313,3.627066667,3.9081,3.1255
4.0928,3.7085,3.9699,3.2517,3.6658,3.2542,3.8503,4.0313,3.627066667,3.9081,3.1255,3.593
3.7085,3.9699,3.2517,3.6658,3.2542,3.8503,4.0313,3.627066667,3.9081,3.1255,3.593,3.2217
3.9699,3.2517,3.6658,3.2542,3.8503,4.0313,3.627066667,3.9081,3.1255,3.593,3.2217,3.7195
3.2517,3.6658,3.2542,3.8503,4.0313,3.627066667,3.9081,3.1255,3.593,3.2217,3.7195,3.9536
3.6658,3.2542,3.8503,4.0313,3.627066667,3.9081,3.1255,3.593,3.2217,3.7195,3.9536,3.56565
3.2542,3.8503,4.0313,3.627066667,3.9081,3.1255,3.593,3.2217,3.7195,3.9536,3.56565,3.8402
3.8503,4.0313,3.627066667,3.9081,3.1255,3.593,3.2217,3.7195,3.9536,3.56565,3.8402,3.1035
4.0313,3.627066667,3.9081,3.1255,3.593,3.2217,3.7195,3.9536,3.56565,3.8402,3.1035,3.5554
3.627066667,3.9081,3.1255,3.593,3.2217,3.7195,3.9536,3.56565,3.8402,3.1035,3.5554,3.1587
3.9081,3.1255,3.593,3.2217,3.7195,3.9536,3.56565,3.8402,3.1035,3.5554,3.1587,3.4159
3.1255,3.593,3.2217,3.7195,3.9536,3.56565,3.8402,3.1035,3.5554,3.1587,3.4159,3.7719
3.593,3.2217,3.7195,3.9536,3.56565,3.8402,3.1035,3.5554,3.1587,3.4159,3.7719,3.380466667
3.2217,3.7195,3.9536,3.56565,3.8402,3.1035,3.5554,3.1587,3.4159,3.7719,3.380466667,3.6809
3.7195,3.9536,3.56565,3.8402,3.1035,3.5554,3.1587,3.4159,3.7719,3.380466667,3.6809,2.8937
3.9536,3.56565,3.8402,3.1035,3.5554,3.1587,3.4159,3.7719,3.380466667,3.6809,2.8937,3.3617
3.56565,3.8402,3.1035,3.5554,3.1587,3.4159,3.7719,3.380466667,3.6809,2.8937,3.3617,3.0483
3.8402,3.1035,3.5554,3.1587,3.4159,3.7719,3.380466667,3.6809,2.8937,3.3617,3.0483,3.4844
3.1035,3.5554,3.1587,3.4159,3.7719,3.380466667,3.6809,2.8937,3.3617,3.0483,3.4844,3.69
3.5554,3.1587,3.4159,3.7719,3.380466667,3.6809,2.8937,3.3617,3.0483,3.4844,3.69,3.35365
3.1587,3.4159,3.7719,3.380466667,3.6809,2.8937,3.3617,3.0483,3.4844,3.69,3.35365,3.7068
3.4159,3.7719,3.380466667,3.6809,2.8937,3.3617,3.0483,3.4844,3.69,3.35365,3.7068,2.9135
3.7719,3.380466667,3.6809,2.8937,3.3617,3.0483,3.4844,3.69,3.35365,3.7068,2.9135,3.2789
3.380466667,3.6809,2.8937,3.3617,3.0483,3.4844,3.69,3.35365,3.7068,2.9135,3.2789,3.0977
